rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,library,direction
1,Oxidative phosphorylation,7.9027567776923315e-28,28.996509979278002,1809.532162095133,NDUFA13;NDUFB7;NDUFA11;NDUFB10;NDUFA12;NDUFB11;NDUFB4;NDUFB2;COX6A1;COX5A;UQCRH;ATP5MG;ATP5MF;ATP5ME;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA3;NDUFA2;ATP5F1E;COX6B1;UQCRQ;NDUFS6;NDUFS5;NDUFS4;ATP5PO,1.3908851928738505e-25,0,0,KEGG_2021_Human,pos
2,Thermogenesis,5.324135525093948e-26,17.88598427978451,1040.874176605986,NDUFA13;NDUFB7;NDUFA11;NDUFB10;NDUFA12;NDUFB11;NDUFB4;NDUFB2;COX6A1;COX5A;UQCRH;COX14;ATP5MG;ATP5MF;COA6;ATP5ME;COA3;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA3;NDUFA2;ATP5F1E;COX6B1;UQCRQ;NDUFS6;NDUFS5;AKT1S1;NDUFS4;ATP5PO,4.685239262082674e-24,0,0,KEGG_2021_Human,pos
3,Parkinson disease,7.863332864601232e-24,15.778404512489928,839.408464349376,NDUFA13;NDUFB7;NDUFA11;NDUFB10;NDUFA12;NDUFB11;NDUFB4;NDUFB2;PARK7;COX6A1;COX5A;UQCRH;PSMB6;PSMB7;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA3;NDUFA2;ATP5F1E;COX6B1;PSMC3;UQCRQ;NDUFS6;NDUFS5;NDUFS4;ATP5PO;UBA52;BCL2L1,4.613155280566056e-22,0,0,KEGG_2021_Human,pos
4,Huntington disease,1.9269847686568537e-23,13.573861661452902,709.9604822821663,NDUFA13;NDUFB7;NDUFA11;NDUFB10;NDUFA12;NDUFB11;NDUFB4;NDUFB2;COX6A1;COX5A;UQCRH;PSMB6;PSMB7;AP2S1;POLR2I;AP2M1;POLR2L;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA3;NDUFA2;ATP5F1E;COX6B1;SOD1;PSMC3;UQCRQ;NDUFS6;NDUFS5;NDUFS4;ATP5PO,8.478732982090155e-22,0,0,KEGG_2021_Human,pos
5,Prion disease,2.2895201629289766e-20,12.993355481727574,587.603187362218,NDUFA13;NDUFB7;NDUFA11;NDUFB10;NDUFA12;NDUFB11;NDUFB4;NDUFB2;COX6A1;COX5A;UQCRH;PSMB6;PSMB7;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA3;NDUFA2;ATP5F1E;COX6B1;SOD1;PSMC3;UQCRQ;NDUFS6;NDUFS5;NDUFS4;ATP5PO,8.059110973509998e-19,0,0,KEGG_2021_Human,pos
6,Amyotrophic lateral sclerosis,4.810266833887881e-19,10.284959492779148,433.8027673662607,NDUFA13;NDUFB7;NDUFA11;NDUFB10;NDUFA12;NDUFB11;NDUFB4;NDUFB2;COX6A1;COX5A;UQCRH;PSMB6;PSMB7;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA3;NDUFA2;ATP5F1E;COX6B1;SOD1;PSMC3;UQCRQ;NDUFS6;NDUFS5;NDUFS4;ATP5PO;OPTN;BCL2L1,1.2358158815557114e-17,0,0,KEGG_2021_Human,pos
7,Diabetic cardiomyopathy,4.915176801642034e-19,14.947435246317928,630.1358743992486,NDUFA8;NDUFA13;NDUFA7;ATP5PD;NDUFB7;NDUFA6;NDUFA11;NDUFB10;NDUFA12;NDUFB11;NDUFB4;NDUFA3;NDUFA2;NDUFB2;COX6A1;COX5A;ATP5F1E;UQCRH;COX6B1;UQCRQ;NDUFS6;NDUFS5;NDUFS4;ATP5PO,1.2358158815557114e-17,0,0,KEGG_2021_Human,pos
8,Pathways of neurodegeneration,1.3059642596344913e-18,8.65437450890075,356.3835940668969,NDUFA13;NDUFB7;NDUFA11;NDUFB10;NDUFA12;NDUFB11;NDUFB4;NDUFB2;PARK7;COX6A1;COX5A;UQCRH;PSMB6;PSMB7;NDUFA8;NDUFA7;ATP5PD;MAP2K2;NDUFA6;NDUFA3;NDUFA2;ATP5F1E;COX6B1;SOD1;PSMC3;UQCRQ;NDUFS6;NDUFS5;NDUFS4;ATP5PO;UBA52;OPTN;BCL2L1,2.873121371195881e-17,0,0,KEGG_2021_Human,pos
9,Non-alcoholic fatty liver disease,5.051132271902216e-18,17.21779371299925,685.7316797585102,NDUFA8;NDUFA13;NDUFA7;NDUFB7;NDUFA6;NDUFA11;NDUFB10;NDUFA12;NDUFB11;NDUFB4;NDUFA3;NDUFA2;NDUFB2;COX6A1;COX5A;UQCRH;COX6B1;UQCRQ;NDUFS6;NDUFS5;NDUFS4,9.877769776164335e-17,0,0,KEGG_2021_Human,pos
10,Alzheimer disease,6.891424384436993e-17,9.289572393098275,345.6990701919723,NDUFA13;NDUFB7;NDUFA11;NDUFB10;NDUFA12;NDUFB11;NDUFB4;NDUFB2;COX6A1;COX5A;UQCRH;PSMB6;PSMB7;NDUFA8;NDUFA7;ATP5PD;MAP2K2;NDUFA6;NDUFA3;NDUFA2;ATP5F1E;COX6B1;PSMC3;UQCRQ;NDUFS6;NDUFS5;NDUFS4;ATP5PO,1.2128906916609109e-15,0,0,KEGG_2021_Human,pos
