,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16
A1BG,0.42487532,0.0044688582,-0.06451458,-0.11276603,0.13950467,-0.18605888,-0.115950406,0.33315867,-0.6528914,0.8668572,-0.14341176,-0.31684935,-0.08620992,0.012533367,0.0617899,0.3991753
A1BG-AS1,-0.33152252,0.3703609,-0.18929839,-0.15053898,0.018796325,-0.010687113,0.2844721,0.25992393,-0.16028434,0.6179929,-0.048567355,-0.5493492,-0.077585876,-0.16206503,0.2350226,-0.07703602
A2M-AS1,-0.40573925,0.31176656,0.08953363,0.25823265,0.12025982,-0.15316159,0.17958581,0.07109493,-0.060509145,0.020815432,0.08243173,0.03697276,-0.00095814466,0.26251823,0.94035715,0.26415288
AAAS,-0.06702542,0.45890808,0.25584698,0.42501092,-0.22825003,-0.05350709,0.37913322,0.4905045,0.010001659,0.25635064,-0.06405711,0.045260787,-0.34585595,0.13254583,0.8977324,0.56626797
AACS,-0.14081597,0.52158535,0.022394955,0.2679661,-0.07595569,-0.3843814,0.24632663,0.42588562,-0.0021755695,-0.02425611,0.058749318,0.010998547,-0.19243807,0.016012788,1.2149439,0.017610192
AAGAB,-0.051817298,0.19696951,0.13677776,-0.12328625,-0.42210817,-0.12590885,-0.15515685,0.18122196,-0.15596747,0.36111176,-0.008574128,-0.05813539,0.21410882,0.1626879,1.2260497,0.31000376
AAK1,-0.68056136,0.44367313,0.15199482,0.10479838,-0.033581257,-0.14389902,0.007998943,0.24654865,-0.03296286,-0.0025242567,0.02361834,0.018312037,0.09135902,-0.023683906,0.8944005,-0.355801
AAMDC,0.21590292,-0.0687927,0.033320487,-0.14732927,-0.05428642,0.14890283,-0.07267892,0.19163638,0.14535934,0.21342784,0.030635297,-0.25548786,-0.11257231,0.010232627,0.6787315,0.5203277
AAMP,0.066010654,0.7768735,0.032895803,0.27498752,-0.278081,-0.15423447,0.25740117,0.3220722,-0.09596944,0.35410672,0.09305179,-0.027179718,-0.22262037,0.038293004,0.9968132,0.27175397
AAR2,-0.3545195,0.5405694,0.08765459,-0.25212765,-0.28541684,-0.17863512,-0.041151047,0.29500127,-0.26142895,0.7061899,0.003799796,-0.052559376,-0.18357635,-0.096061826,0.56601167,0.045499206
AARS2,-0.07175207,0.39789677,-0.033050776,0.55030584,-0.13981462,-0.20746589,0.25117397,0.3686428,0.009858608,-0.024938583,0.058096647,0.016850233,-0.30753613,0.26006103,0.98969936,0.1489222
AARSD1,0.11565685,0.30981898,0.11924505,0.4444003,-0.20620227,-0.23068488,0.22699833,0.3465712,-0.16155839,0.10493398,0.027862191,0.09161234,-0.44329464,0.21640062,0.81765056,0.53411126
AASDH,-0.15171617,-0.3005609,-0.024688989,-0.06596297,0.1642242,-0.014468282,-0.3131643,-0.041408837,0.031980872,0.3229402,0.019599497,-0.2958566,0.18945634,0.11538342,1.1875935,0.027514994
AASDHPPT,-0.2861902,-0.008034706,0.015357137,0.017914176,-0.11990368,-0.13893992,-0.25954247,-0.25382638,-0.04848689,0.07533133,0.20851344,-0.16719103,0.19985288,0.15002266,1.2638956,-0.44917166
