rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,library,direction
1,Osteoclast differentiation,5.353415282357665e-06,7.859526133640962,95.39716634168545,LILRA6;SPI1;TYROBP;NCF2;NCF4;LILRB3;SIRPB1;OSCAR;MAPK3,0.0011402774551421827,0,0,KEGG_2021_Human,neg
2,Insulin signaling pathway,7.222412875662573e-05,6.353682170542636,60.58703818623099,HK3;MKNK1;FLOT1;FLOT2;PYGL;PRKACA;SH2B2;MAPK3,0.00769186971258064,0,0,KEGG_2021_Human,neg
3,Pentose phosphate pathway,0.00021690636844734666,15.521193092621663,130.93747995826848,G6PD;TALDO1;PGD;ALDOA,0.015400352159761613,0,0,KEGG_2021_Human,neg
4,Fc epsilon RI signaling pathway,0.0005949605404203094,8.032967032967033,59.66097044986614,MAP2K3;FCER1G;ALOX5;ALOX5AP;MAPK3,0.0283939732621388,0,0,KEGG_2021_Human,neg
5,Chemokine signaling pathway,0.0007166026255578859,4.442028985507246,32.16468341792441,HCK;CXCR1;GNB2;WAS;ARRB2;PRKACA;JAK3;MAPK3,0.0283939732621388,0,0,KEGG_2021_Human,neg
6,HIF-1 signaling pathway,0.0007998302327363043,5.914422980682614,42.17640714227474,HK3;EGLN2;MKNK1;PGK1;ALDOA;MAPK3,0.0283939732621388,0,0,KEGG_2021_Human,neg
7,Platelet activation,0.0015592887441538072,5.158658046479119,33.34311780301567,VASP;APBB1IP;FCER1G;P2RX1;PRKACA;MAPK3,0.04744692892925156,0,0,KEGG_2021_Human,neg
8,Shigellosis,0.0034123118554292135,3.424719887955182,19.45365985598759,HK3;SHARPIN;CYTH4;TNIP1;ACTN1;HCLS1;GABARAP;MAPK3,0.09085280315080281,0,0,KEGG_2021_Human,neg
9,"Parathyroid hormone synthesis, secretion and action",0.004264616976171701,5.001015486164001,27.292556458953126,MMP25;RXRA;ARRB2;PRKACA;MAPK3,0.1009292684360636,0,0,KEGG_2021_Human,neg
10,Central carbon metabolism in cancer,0.005319900387786846,6.1020408163265305,31.95212059737399,HK3;G6PD;SLC16A3;MAPK3,0.11331387825985982,0,0,KEGG_2021_Human,neg
11,Tight junction,0.007151611331120443,3.7259502877743342,18.407750328779695,VASP;ACTN1;WAS;HCLS1;PRKACA;TUBA4A,0.13848120122987767,0,0,KEGG_2021_Human,neg
12,Glycosphingolipid biosynthesis,0.010269125320643951,7.163886874546773,32.800668633723014,FUT7;ST3GAL4;GBGT1,0.18227697444143012,0,0,KEGG_2021_Human,neg
13,Yersinia infection,0.012285432640016485,3.8205128205128207,16.807738908917543,MAP2K3;RPS6KA1;RHOG;WAS;MAPK3,0.2012920886402701,0,0,KEGG_2021_Human,neg
14,Fc gamma R-mediated phagocytosis,0.01633987091298068,4.324555628703094,17.79185795383184,VASP;HCK;WAS;MAPK3,0.2485994646046346,0,0,KEGG_2021_Human,neg
15,Glutathione metabolism,0.01941144445372479,5.568527918781726,21.950538252832054,G6PD;PGD;PRDX6,0.275642511242892,0,0,KEGG_2021_Human,neg
