rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,library,direction
1,Histone Lysine Methylation (GO:0034968),0.0002802069439193893,14.411078717201166,117.88236655881762,MLLT10;SETDB2;SMYD2;HCFC2,0.1713572443130812,0,0,GO_Biological_Process_2023,pos
2,Regulation Of DNA-templated Transcription (GO:0006355),0.0003558215840053577,2.0136339548104254,15.990430583680107,URI1;MEAF6;ZNF22;YEATS4;CREBL2;LIN9;CDKN2AIP;ZNF280D;PURA;YWHAQ;CREB3L4;TASP1;ZNF567;SRSF10;YAF2;ZNF146;PCGF6;PCID2;ZNF383;ZBTB14;SETDB2;HCFC2;ZHX1;SMAD5;UCHL5;MLLT10;CNOT7;ZNF92;MDFIC;RFX7;ZNF639;PHF14;UBA2;ZNF678;ZNF510,0.1713572443130812,0,0,GO_Biological_Process_2023,pos
3,Chromatin Remodeling (GO:0006338),0.0004977575631731953,4.213081833177939,32.04216170603938,PCGF6;PCID2;GATAD1;SETDB2;SMARCAD1;YEATS4;HCFC2;BMI1;UCHL5,0.1713572443130812,0,0,GO_Biological_Process_2023,pos
4,Protein Import Into Mitochondrial Matrix (GO:0030150),0.0007195272026923491,20.086294416243653,145.36282995258424,DNAJC19;TOMM70;TOMM20,0.1713572443130812,0,0,GO_Biological_Process_2023,pos
5,Regulation Of DNA Recombination (GO:0000018),0.0009633623018811155,10.081632653061224,70.017755335544,ZRANB3;MSH2;SHLD2;SMARCAD1,0.1713572443130812,0,0,GO_Biological_Process_2023,pos
6,Protein Ufmylation (GO:0071569),0.0009754681839454337,66.65656565656566,462.10284137848555,UFM1;UBA5,0.1713572443130812,0,0,GO_Biological_Process_2023,pos
7,Chromatin Organization (GO:0006325),0.0015539254292207321,3.555135539428733,22.99095848622001,PCGF6;HMGN4;GATAD1;SMARCAD1;NAP1L2;YEATS4;HCFC2;BMI1;UCHL5,0.23397677177123596,0,0,GO_Biological_Process_2023,pos
8,Fatty Acid Oxidation (GO:0019395),0.0018054466882107389,8.39795918367347,53.04946512994202,SLC25A17;SCP2;CYP4V2;ACADM,0.23786760117176484,0,0,GO_Biological_Process_2023,pos
9,DNA Metabolic Process (GO:0006259),0.0025301173362854644,3.2969093058604964,19.71383490435907,ZRANB3;RFC5;PURA;MSH2;XPA;RAD17;SMARCAD1;GTF2H3;UCHL5,0.2574945970337006,0,0,GO_Biological_Process_2023,pos
10,Negative Regulation Of Protein Import Into Nucleus (GO:0042308),0.0026777674677022855,33.323232323232325,197.36590289038227,UFM1;MDFIC,0.2574945970337006,0,0,GO_Biological_Process_2023,pos
11,DNA Repair (GO:0006281),0.002711225567064044,3.261334521555085,19.275643190103604,ZRANB3;RFC5;MSH2;XPA;RAD17;WRNIP1;ASCC3;GTF2H3;PMS1,0.2574945970337006,0,0,GO_Biological_Process_2023,pos
12,Regulation Of Phospholipid Metabolic Process (GO:1903725),0.0034202318391573132,28.561327561327563,162.17255858986445,DNAJC19;MTMR2,0.2574945970337006,0,0,GO_Biological_Process_2023,pos
13,Kinetochore Assembly (GO:0051382),0.0034202318391573132,28.561327561327563,162.17255858986445,MIS12;KNTC1,0.2574945970337006,0,0,GO_Biological_Process_2023,pos
14,Mitotic DNA Replication Checkpoint Signaling (GO:0033314),0.0034202318391573132,28.561327561327563,162.17255858986445,RAD17;NAE1,0.2574945970337006,0,0,GO_Biological_Process_2023,pos
15,Protein Transmembrane Import Into Intracellular Organelle (GO:0044743),0.0039464456405227145,10.382110974969368,57.46436072810552,DNAJC19;TOMM70;TOMM20,0.2773035803407294,0,0,GO_Biological_Process_2023,pos
