rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,library,direction
1,Receptor-Mediated Endocytosis (GO:0006898),2.8592517736598964e-10,12.558651817691214,275.9800277206425,SCARB2;FCER1G;LRP1;INSR;CLTA;LDLRAD3;LILRB4;ASGR1;MARCO;STAB1;PPT1;AP2S1;WASF1,3.954345202971637e-07,0,0,GO_Biological_Process_2023,neg
2,Endocytosis (GO:0006897),4.654609730897169e-07,7.076451496574108,103.17634406062211,SCARB2;MARCO;LRP1;RAB34;INSR;STAB1;PPT1;LDLRAD3;AMPH;CD14;WASF1;ASGR1,0.00032186626289153924,0,0,GO_Biological_Process_2023,neg
3,Negative Regulation Of Leukocyte Activation (GO:0002695),2.0854898756677612e-05,31.062794348508636,334.7923648041761,MILR1;NR1H3;LILRB4;CD33,0.007210581245121284,0,0,GO_Biological_Process_2023,neg
4,Rac Protein Signal Transduction (GO:0016601),2.0854898756677612e-05,31.062794348508636,334.7923648041761,CYFIP1;BRK1;WASF1;AIF1,0.007210581245121284,0,0,GO_Biological_Process_2023,neg
5,Positive Regulation Of Arp2/3 Complex-Mediated Actin Nucleation (GO:2000601),3.3473033797170354e-05,75.36548223350253,776.6239908457204,CYFIP1;BRK1;WASF1,0.00925864114829732,0,0,GO_Biological_Process_2023,neg
6,Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260),6.723327393029232e-05,13.334682860998651,128.110862510313,CD63;ANXA2;INSR;PPT1;CLU,0.01411529964932079,0,0,GO_Biological_Process_2023,neg
7,Neutrophil Chemotaxis (GO:0030593),7.144403293220934e-05,9.537371134020619,91.04943074916847,FCER1G;S100A12;PPBP;S100A9;S100A8;PF4,0.01411529964932079,0,0,GO_Biological_Process_2023,neg
8,Granulocyte Chemotaxis (GO:0071621),9.0483142653988e-05,9.108939836897985,84.80739062557714,FCER1G;S100A12;PPBP;S100A9;S100A8;PF4,0.015329026293234333,0,0,GO_Biological_Process_2023,neg
9,Activation Of Protein Kinase B Activity (GO:0032148),0.00010411396073230691,19.221574344023324,176.26230732641343,INSR;IL18;ANG;TXN,0.015329026293234333,0,0,GO_Biological_Process_2023,neg
10,Positive Regulation Of Actin Nucleation (GO:0051127),0.00011224655254723089,43.059463379260336,391.61775629527256,CYFIP1;BRK1;WASF1,0.015329026293234333,0,0,GO_Biological_Process_2023,neg
11,Neutrophil Migration (GO:1990266),0.00012192284108863171,8.59401771453463,77.4503375178538,FCER1G;S100A12;PPBP;S100A9;S100A8;PF4,0.015329026293234333,0,0,GO_Biological_Process_2023,neg
12,Actin Polymerization Or Depolymerization (GO:0008154),0.00018485918100710728,10.551282051282051,90.69793638374381,MSRB2;ANG;CAPG;WASF1;AIF1,0.021305020611069113,0,0,GO_Biological_Process_2023,neg
13,Response To Lipopolysaccharide (GO:0032496),0.00020312581811204544,5.4219094922737305,46.09536647852616,NR1H3;CD14;PPBP;LILRB2;CD68;S100A9;S100A8;PF4,0.02142725054019146,0,0,GO_Biological_Process_2023,neg
14,Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010743),0.00021690636844734666,15.521193092621663,130.93747995826848,CETP;IL18;NR1H3;PF4,0.02142725054019146,0,0,GO_Biological_Process_2023,neg
15,Cellular Response To Lipopolysaccharide (GO:0071222),0.00025262487213479094,6.1016341171781585,50.543526200205385,IL18;NR1H3;CD14;PPBP;LILRB2;CD68;PF4,0.023292013210827724,0,0,GO_Biological_Process_2023,neg
