rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,library,direction
1,Intestinal immune network for IgA production,0.00011485363419992406,11.781156827668456,106.87691096820599,TNFRSF13B;CD28;TNFRSF13C;HLA-DOA;ICOS,0.01772960421811187,0,0,KEGG_2021_Human,pos
2,Cytokine-cytokine receptor interaction,0.00019699560242346522,3.9994783515910277,34.124865732868805,EDAR;TNFRSF13B;CD70;CXCR3;IL21R;CXCR5;CD27;IFNLR1;CCR6;TNFRSF13C;TNF,0.01772960421811187,0,0,KEGG_2021_Human,pos
3,Primary immunodeficiency,0.0005488816438829229,11.864345738295318,89.07309099917518,CD79A;TNFRSF13B;TNFRSF13C;ICOS,0.028102283260935598,0,0,KEGG_2021_Human,pos
4,T cell receptor signaling pathway,0.0006244951835763466,6.217757205975174,45.87813776640311,ITK;AKT2;CD28;CTLA4;ICOS;TNF,0.028102283260935598,0,0,KEGG_2021_Human,pos
5,Inflammatory bowel disease,0.004082818057618266,6.603880896620943,36.32773635617284,IL21R;HLA-DOA;TNF;FOXP3,0.14698145007425759,0,0,KEGG_2021_Human,pos
6,Allograft rejection,0.006424287048407678,8.599709934735316,43.40849457481817,CD28;HLA-DOA;TNF,0.19272861145223033,0,0,KEGG_2021_Human,pos
7,Graft-versus-host disease,0.00849123527188726,7.716126513080828,36.79605293636041,CD28;HLA-DOA;TNF,0.2038923635088008,0,0,KEGG_2021_Human,pos
8,Type I diabetes mellitus,0.009061882822613368,7.522842639593908,35.3850321555175,CD28;HLA-DOA;TNF,0.2038923635088008,0,0,KEGG_2021_Human,pos
9,Small cell lung cancer,0.01369057791240266,4.571428571428571,19.61621680627398,TRAF4;AKT2;COL4A3;FHIT,0.23237128453452566,0,0,KEGG_2021_Human,pos
10,Rheumatoid arthritis,0.014196823423564662,4.519834900252236,19.23070897367363,CD28;CTLA4;HLA-DOA;TNF,0.23237128453452566,0,0,KEGG_2021_Human,pos
11,Autoimmune thyroid disease,0.015997238813927166,6.0152284263959395,24.875009582390742,CD28;CTLA4;HLA-DOA,0.23237128453452566,0,0,KEGG_2021_Human,pos
12,Breast cancer,0.016226313311800328,3.549656915854099,14.628565928322413,WNT10A;FGF9;AKT2;TCF7;WNT7A,0.23237128453452566,0,0,KEGG_2021_Human,pos
13,Gastric cancer,0.017104436296927556,3.5,14.239460957930145,WNT10A;FGF9;AKT2;TCF7;WNT7A,0.23237128453452566,0,0,KEGG_2021_Human,pos
14,Viral protein interaction with cytokine and cytokine receptor,0.018073322130463105,4.188775510204081,16.81088959163861,CXCR3;CXCR5;CCR6;TNF,0.23237128453452566,0,0,KEGG_2021_Human,pos
15,NF-kappa B signaling pathway,0.020556458565384676,4.020408163265306,15.617597552926842,EDAR;EDARADD;TNFRSF13C;TNF,0.24667750278461612,0,0,KEGG_2021_Human,pos
