,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16
A1BG,0.019928813,0.03991127,0.35741627,-0.12666583,0.13213754,0.012910366,0.15963018,-0.19362867,-0.6053239,0.531441,0.019690394,-0.622198,0.14006495,0.11897087,0.48879683,0.3593117
A1BG-AS1,-0.24636984,0.4221052,-0.11949837,-0.005301833,-0.5380869,0.26171505,0.02619028,0.056749582,0.10884404,0.6682128,0.054481626,-0.6219566,-0.124418736,-0.008451939,0.64541996,-0.24743676
A2M-AS1,-0.033557415,0.20465851,-0.113892555,0.46800375,-0.21678805,0.19960403,0.05093217,0.08288622,0.09897947,0.049972534,0.1919806,0.061058998,0.20278692,0.23087263,0.9977579,-0.007748604
AAAS,0.12515783,0.24724603,0.3318429,0.29982328,-0.36244392,-0.21390915,0.8542478,0.37870407,-0.37751794,0.4839301,0.06494522,-0.079631805,-0.26667118,0.068467855,0.9293914,0.23637414
AACS,0.052416325,0.43457747,0.10852218,0.42328835,-0.16429424,-0.08277595,0.24238229,0.31083524,-0.21407604,0.17680526,0.1682818,-0.07967353,-0.2653867,0.090026855,1.0577798,0.008696318
AAGAB,-0.25013387,-0.04222691,0.11050552,0.028054416,-0.1358062,-0.33948123,-0.1831621,0.042054057,-0.4074633,0.5463496,0.038985908,-0.14462918,0.057192147,0.023508072,1.1903629,0.003553927
AAK1,-0.37612915,0.4651755,-0.023016334,0.4418522,-0.017490983,-0.120037794,-0.08523762,0.033935905,0.022095442,0.3696084,0.11636913,0.028032064,-0.12903512,-0.055769086,0.9088665,-0.6762922
AAMDC,-0.05234778,-0.3132254,0.28232038,-0.33712685,0.04698336,-0.21939874,0.20945668,-0.105562806,-0.032281876,0.5342871,-0.21585822,-0.2590388,0.3566712,-0.05416572,0.32404363,0.54117143
AAMP,0.018262863,0.46288967,0.11566877,0.23377538,-0.64446926,-0.24786592,0.62731504,-0.043314695,-0.42939186,0.5862713,0.24837255,-0.22162795,-0.29639006,0.15672445,0.8932531,-0.030910969
AAR2,-0.16314983,0.4921779,-0.06471276,-0.028422475,-0.5861074,0.010350347,0.18395782,-0.1624614,-0.38070083,0.8749142,0.19730926,-0.35971403,-0.23183227,0.07759929,0.67582875,-0.24808049
AARS2,0.051236153,0.35932064,0.059330463,0.69043636,-0.2708912,-0.13005733,0.42552948,0.20754337,-0.32383204,0.33652782,0.055658817,-0.10020733,-0.22966862,0.16385317,1.1836886,-0.005340576
AARSD1,0.1598537,0.1789391,0.23238063,0.45127273,-0.204736,-0.32372773,0.4978299,0.16863346,-0.5379081,0.32000542,0.14027357,-0.14652014,-0.26777685,0.18708706,1.0941267,0.27946234
AASDH,-0.23979545,-0.056684017,-0.17598271,-0.21977425,-0.21166801,0.16018748,-0.296849,-0.116842985,0.28244853,0.3928244,0.066018105,-0.41514635,0.306046,-0.05785227,1.3600379,-0.24931431
AASDHPPT,-0.32815337,0.21804571,-0.11634529,0.25212765,-0.1604408,-0.004684925,-0.43171346,-0.14264286,0.12075007,0.13714135,0.27209222,-0.070005655,0.2399087,0.091433525,1.5615731,-0.30234456
AASS,0.09176731,0.23705363,-0.26565194,0.8138597,0.111061335,-0.37779212,-0.040739775,0.2028048,0.26577115,-0.026530027,0.105166435,0.24794936,-0.24409294,0.11125803,0.80421567,0.10330081
AATBC,-0.27083755,0.06527305,0.00034868717,-0.33951104,-0.70135593,0.33103228,0.7074684,0.096702576,-0.08509457,0.4104674,-0.21743774,-0.66524744,0.27813017,0.07305145,0.5167216,-0.15789866
AATF,-0.12586117,0.12832284,0.24890304,-0.020164251,-0.65270066,-0.38083792,0.5053818,0.36106706,-0.40879846,0.44557452,0.2214849,-0.42331815,-0.5236566,0.099521875,0.31104684,-0.42183995
