,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16
SMTSISCH,-0.010137104988098144,-0.00925229787826538,-0.010233652591705323,0.007623457908630371,-0.015017509460449219,-0.0016600728034973145,-0.003408384323120117,-0.013190937042236329,-0.009479033946990966,-0.009353160858154297,-0.009978365898132325,-0.006933176517486572,-0.009005105495452881,-0.006877446174621582,-0.0072355508804321286,-0.01144789457321167
SMRIN,0.013903748989105225,0.013037276268005372,0.1166007399559021,0.0012332797050476074,-0.006473612785339355,0.011001980304718018,0.020235657691955566,0.02517809867858887,0.04350798130035401,-0.004891228675842285,-0.004635000228881836,-0.0017632246017456055,-0.0017015933990478516,-9.473562240600586e-05,0.14580925703048705,0.08576030731201172
AGE_mid,-0.004718852043151855,-0.005444884300231934,-0.009038090705871582,0.0003279566764831543,-0.0007148265838623046,-0.005196261405944824,-0.00637592077255249,-0.0033031582832336428,-0.010610055923461915,0.004164302349090576,0.00496600866317749,0.029618990421295167,-0.010878276824951173,0.0035475492477416992,-0.008456408977508545,0.0002575397491455078
DTHHRDY,0.009584271907806396,-0.00242767333984375,0.004718673229217529,0.021284544467926027,-0.003954577445983887,5.638599395751953e-06,0.01596066951751709,-0.0068793058395385746,0.0015633106231689453,0.018934309482574463,0.0035884737968444823,0.03990473747253418,-0.0013530969619750977,0.010645151138305664,-0.006285321712493896,0.012250924110412597
SEX,-0.013539505004882813,-0.010480523109436035,-0.01624159812927246,-0.008161985874176025,-0.009737372398376465,-0.011090302467346191,0.0035663485527038575,-0.013388526439666749,-0.019117522239685058,-0.012918245792388917,-0.013153982162475587,-0.014462769031524658,-0.01302729845046997,-0.013651704788208008,-0.010752487182617187,-0.00907604694366455
SMCENTER_code,-0.015492510795593262,-0.01050347089767456,0.009818410873413086,-0.00700751543045044,-0.01643223762512207,-0.013355696201324463,-0.019885540008544922,-0.015344727039337158,0.02003291845321655,-0.009095418453216552,0.011425471305847168,0.017873942852020264,-0.014144349098205566,0.003542149066925049,0.004104030132293701,-0.015124964714050292
SMNABTCH_code,-0.0034913182258605956,0.02042677402496338,-0.014138507843017577,-0.01314384937286377,-0.016256999969482423,-0.012358129024505615,-0.01776721477508545,-0.01350867748260498,-0.015207028388977051,-0.014949584007263183,0.0017875075340270997,-0.01226978302001953,-0.008651280403137207,-0.016898345947265626,-0.01115807294845581,-0.006224393844604492
SMGEBTCH_code,-0.014106237888336181,-0.026767444610595704,-0.01548546552658081,-0.016088926792144777,-0.015897274017333984,-0.016475188732147216,-0.01820855140686035,-0.014503180980682373,-0.009070682525634765,-0.010859346389770508,-0.01622356176376343,-0.016202485561370848,-0.025624966621398924,-0.014267683029174805,-0.014507603645324708,-0.01418309211730957
neutrophil,0.13706505298614502,0.09161758422851562,0.02521543502807617,0.045379257202148436,0.11756242513656616,0.09937896728515624,-0.0025508284568786623,0.0404283881187439,0.0440921425819397,-0.005059099197387696,0.08419193029403686,0.061518752574920656,-0.004318046569824219,0.0012706637382507325,0.003341567516326904,-0.009263205528259277
T_cell,-0.014272046089172364,0.11454851627349853,-0.011451458930969239,0.21276249885559081,0.007677125930786133,0.08158708810806274,0.048357462882995604,0.026952016353607177,0.02511889934539795,-0.0017168521881103516,0.001788020133972168,0.009438729286193848,0.0794340968132019,0.08755767345428467,0.3680444240570068,-0.015889286994934082
B_cell,-0.017220830917358397,0.12287098169326782,-0.016522145271301268,0.07619240283966064,-0.019032049179077148,0.010284960269927979,0.05743134021759033,0.06359869241714478,-0.0038860440254211426,-0.001796388626098633,-0.021705126762390135,0.023266816139221193,0.09188259840011596,-0.0037281155586242677,0.2526157021522522,-0.02158958911895752
NK_cell,-0.008490645885467529,0.03205541372299194,0.006176722049713135,0.11767399311065674,0.007392692565917969,0.04894044399261475,0.0472159743309021,-0.0048988938331604006,0.05565121173858643,-0.01630423069000244,0.02324361801147461,-0.006126236915588379,0.010151910781860351,0.12054444551467895,0.16240181922912597,-0.0035123109817504885
monocyte,0.008072435855865479,-0.003803110122680664,0.0013964295387268067,0.3157439470291138,0.10341960191726685,0.017098546028137207,0.0207916259765625,0.009608078002929687,0.15634573698043824,0.012134599685668945,0.07341670989990234,0.01958310604095459,-0.0027626872062683104,-0.004311895370483399,0.010284316539764405,0.03172825574874878
erythroid,0.28227312564849855,-0.006056356430053711,0.04224553108215332,0.004661726951599121,0.003852999210357666,0.006542682647705078,0.06617058515548706,0.010252320766448974,0.10940675735473633,-0.012949347496032715,-0.006261754035949707,0.1176671028137207,0.0006332635879516601,-0.00535280704498291,-0.009427833557128906,0.3620556592941284
platelet,0.017219734191894532,0.012595295906066895,0.042037558555603025,0.1222427487373352,0.015109097957611084,0.0018828153610229493,0.01736658811569214,0.04451563358306885,0.018831419944763183,-0.0017128944396972655,-0.008458149433135987,-0.003108489513397217,0.03218222856521606,0.03928828239440918,0.000455629825592041,-0.007710886001586914
