dim,top1,top1_r2,top2,top2_r2,top3,top3_r2
z1,erythroid,0.28227312564849855,Neut_immature,0.15853139162063598,neutrophil,0.13706505298614502
z2,Mono_classical,0.18404098749160766,CD4_naive,0.13117239475250245,B_cell,0.12287098169326782
z3,SMRIN,0.1166007399559021,Plasmablast,0.06101551055908203,erythroid,0.04224553108215332
z4,Mono_classical,0.3489192485809326,monocyte,0.3157439470291138,Neut_mature,0.21440391540527343
z5,Mono_nonclassical,0.19558933973312378,cDC2,0.1517850637435913,neutrophil,0.11756242513656616
z6,pDC,0.11396609544754029,Neut_immature,0.1132407546043396,Exhaustion,0.10062223672866821
z7,Mono_classical,0.16423478126525878,Neut_mature,0.12276594638824463,Neut_immature,0.08436890840530395
z8,B_cell,0.06359869241714478,Plasmablast,0.04882631301879883,platelet,0.04451563358306885
z9,monocyte,0.15634573698043824,erythroid,0.10940675735473633,Mono_nonclassical,0.09680361747741699
z10,Inflammation,0.03633382320404053,B_memory,0.03242979049682617,CD4_naive,0.030813801288604736
z11,Mono_nonclassical,0.11386137008666992,neutrophil,0.08419193029403686,monocyte,0.07341670989990234
z12,Proliferation,0.19318995475769044,B_memory,0.14859583377838134,CD4_naive,0.12369234561920166
z13,CD4_naive,0.1499391794204712,CD8_naive,0.12670834064483644,B_naive,0.11962270736694336
z14,NK_bright,0.14827779531478882,NK_cell,0.12054444551467895,Inflammation,0.11990268230438232
z15,CD4_memory,0.581851351261139,cDC1,0.41767326593399046,Treg,0.3973702907562256
z16,erythroid,0.3620556592941284,SMRIN,0.08576030731201172,Neut_mature,0.061085832118988034
