,CD4_naive,CD4_memory,CD8_naive,CD8_cytotoxic,Treg,B_naive,B_memory,Plasmablast,Mono_classical,Mono_nonclassical,NK_bright,NK_dim,Neut_mature,Neut_immature,Eosinophil,Basophil,cDC1,cDC2,pDC,Activation,Exhaustion,Proliferation,Type1_IFN,Inflammation
CD4_naive,1.0,0.7028855155883628,0.8878688433029445,0.27993865779715443,0.634682755271253,0.7459715204975211,0.7779525391083246,0.22436469309486473,-0.12995716121065998,0.4122641783955873,0.40471671496460976,0.2659757880668902,-0.15723305136497776,-0.001960186421380361,,0.24418829414434348,0.5285002195954112,0.5709091722469753,0.53075527869714,0.0777640702192041,0.3304291019551708,0.0356134805818953,0.32122084523038325,0.17788481149958937
CD4_memory,0.7028855155883628,0.9999999999999998,0.846470876682093,0.7617057074911737,0.9154972729676766,0.6352013672541612,0.624087279557627,0.6093709964968997,-0.44295237470739135,0.7098822554482336,0.8424934632309047,0.7412690211486955,-0.6208975807857924,0.4202861324498078,,0.5440322172944417,0.7194003116204413,0.7046515409640847,0.5811835916427525,0.55789413168828,0.7846764999017692,0.4730100967589262,0.458224815716685,0.5819202435223398
CD8_naive,0.8878688433029445,0.846470876682093,1.0,0.6212883104894794,0.8226727188808697,0.7135375718758605,0.7003959491321338,0.4109973022627154,-0.36203410832128036,0.4788517089677846,0.6857896496476251,0.5411803314421482,-0.444411173362409,0.24376742621831224,,0.40041390401535265,0.5937750404148819,0.599157025605058,0.5546813393003479,0.37180538118793705,0.6464745424280801,0.25710362251586255,0.40530247612816156,0.42858286529679646
CD8_cytotoxic,0.27993865779715443,0.7617057074911736,0.6212883104894794,1.0,0.834356044909605,0.3658759796560403,0.25468957623397726,0.6019179235112839,-0.6295507255889173,0.6142116856844809,0.9208952379798454,0.9491091585319396,-0.7834609792033462,0.5895015463379152,,0.5224163972990842,0.5620718873339388,0.5194914482546558,0.4500623808267504,0.8022759696548704,0.9480462773873373,0.5220502412308372,0.42387672012708666,0.7234684225124369
Treg,0.6346827552712531,0.9154972729676767,0.8226727188808698,0.8343560449096051,1.0,0.6158398741657886,0.5270122206858453,0.6044582534414676,-0.5766013562295089,0.6732081859327765,0.8785090129705452,0.8024633274571545,-0.7372563247436802,0.4907355701668578,,0.5482357955755964,0.7196589961339487,0.6680018982112995,0.6156987875510069,0.7103937877075036,0.8947401786307128,0.4786968846310756,0.4829764848544054,0.7051024728124728
B_naive,0.7459715204975211,0.6352013672541613,0.7135375718758604,0.3658759796560403,0.6158398741657886,1.0,0.8665615579000335,0.33615497654451254,-0.28600490044172633,0.3373522719594503,0.4635928169128811,0.3339531224794932,-0.32541339348355,0.1673657236514737,,0.2819859194722241,0.5497856817864633,0.5046638313870044,0.4889983752123328,0.25122319843068136,0.4096254652478857,0.16887729271612092,0.26969740272007037,0.3022794547825969
B_memory,0.7779525391083245,0.624087279557627,0.7003959491321337,0.25468957623397726,0.5270122206858452,0.8665615579000335,0.9999999999999998,0.36013552610144145,-0.08222917758267209,0.354756850493108,0.36345250182991773,0.22859187592062702,-0.13149718862979337,0.001738723771982759,,0.23894141942713884,0.526517973502228,0.5129356397213642,0.4954572434240095,0.033182626186778565,0.2836374848283901,0.10586929172828048,0.3135468366305895,0.1006911959925519
Plasmablast,0.22436469309486476,0.6093709964968999,0.4109973022627154,0.601917923511284,0.6044582534414676,0.33615497654451254,0.36013552610144145,1.0,-0.38854960670270583,0.42669071514880325,0.5818121330211293,0.5819962809871382,-0.5305497497541414,0.5414555685482397,,0.4480776046876447,0.3982278695135903,0.2962787990885479,0.4114765013808825,0.521953532110646,0.616758640862688,0.6835145057395277,0.38405170751656426,0.40850983765335835
Mono_classical,-0.12995716121065998,-0.44295237470739135,-0.36203410832128036,-0.6295507255889173,-0.576601356229509,-0.28600490044172633,-0.08222917758267209,-0.38854960670270583,1.0,-0.20408392881560938,-0.6013642357610213,-0.6061027356235326,0.8322920341595208,-0.35098205696664675,,-0.27274239014788987,-0.22205060634440862,-0.16452707705800576,-0.18838441349747828,-0.6447537792493426,-0.6569013105343119,-0.23676261767172935,-0.28698070426016625,-0.542261720012699
Mono_nonclassical,0.4122641783955874,0.7098822554482337,0.4788517089677846,0.614211685684481,0.6732081859327766,0.3373522719594503,0.354756850493108,0.42669071514880325,-0.20408392881560938,1.0,0.6253227321853666,0.7059223252756166,-0.43174678559978796,0.31241110756629437,,0.4201943684280952,0.765178011179998,0.711260082615426,0.5563944936569607,0.5007718196631148,0.6213581629858517,0.32769710408284153,0.41367885951118333,0.4967146976194887
