rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,dim,direction,library
1,Antigen processing and presentation,8.425368889377159e-13,21.106951871657753,586.8230522456705,PDIA3;HSPA8;HSP90AB1;HSPA5;KLRC3;KIR3DL1;KIR2DL1;KIR3DL2;KIR2DL3;CALR;HLA-DRB1;HSPA1B;HSPA1A,1.5586932445347744e-10,0,0,40,neg,KEGG_2021_Human
2,Protein processing in endoplasmic reticulum,1.943926715300193e-09,9.417231696459147,188.89606774285315,PDIA3;PPP1R15A;HSPA8;HSP90AB1;HSPA5;PDIA4;HSP90B1;HSPH1;DDIT3;HYOU1;CALR;HSPA1B;SEC31A;HSPA1A,1.7981322116526783e-07,0,0,40,neg,KEGG_2021_Human
3,Graft-versus-host disease,7.664647684676993e-09,24.223039215686274,452.64739011158383,PRF1;GZMB;FASLG;KIR3DL1;KIR2DL1;KIR3DL2;KIR2DL3;HLA-DRB1,3.726510948711634e-07,0,0,40,neg,KEGG_2021_Human
4,Natural killer cell mediated cytotoxicity,8.057320970187318e-09,10.556588592883962,196.7398133403003,NCR3;PAK1;KLRC3;PRF1;SH2D1B;GZMB;FASLG;LCP2;KIR3DL1;KIR2DL1;KIR3DL2;KIR2DL3,3.726510948711634e-07,0,0,40,neg,KEGG_2021_Human
5,Lipid and atherosclerosis,1.8215971679517093e-06,6.161932711455822,81.43485108373694,HSPA8;JUN;CXCL8;HSP90AB1;HSPA5;SRC;DDIT3;CCL3;FASLG;HSPA1B;HSPA1A;HSP90B1,6.739909521421325e-05,0,0,40,neg,KEGG_2021_Human
6,Apoptosis,1.3264126160881091e-05,6.967799078848955,78.25150138386695,JUN;DDIT3;LMNA;PRF1;PMAIP1;GZMB;CTSW;FASLG;BOK,0.0004089772232938336,0,0,40,neg,KEGG_2021_Human
7,MAPK signaling pathway,4.268146599972169e-05,4.417836124943413,44.451144002281936,PDGFRB;CSF1R;NR4A1;HSPA8;JUN;PAK1;MRAS;DDIT3;FLNA;FASLG;HSPA1B;HSPA1A,0.0011280101728497875,0,0,40,neg,KEGG_2021_Human
8,Viral protein interaction with cytokine and cytokine receptor,6.570537771122418e-05,7.685609226140732,74.01495143325761,CSF1R;CXCL8;CCL4L2;CCL4;IL2RB;XCL2;CCL3,0.0014846070911084179,0,0,40,neg,KEGG_2021_Human
9,Estrogen signaling pathway,7.222412875662573e-05,6.353682170542636,60.58703818623099,HSPA8;JUN;HSP90AB1;SRC;HSPA1B;HSP90B1;HBEGF;HSPA1A,0.0014846070911084179,0,0,40,neg,KEGG_2021_Human
10,Human cytomegalovirus infection,9.29652303479594e-05,4.794369645042839,44.50749981959715,PDIA3;GNGT2;CXCL8;SRC;CCL4L2;CCL4;CCL3;FASLG;CALR;PTGS2,0.001719856761437249,0,0,40,neg,KEGG_2021_Human
