rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,dim,direction,library
1,Defense Response To Symbiont (GO:0140546),1.8481673728899247e-05,6.66499679837282,72.64000672882531,RTP4;NT5C3A;RNASEL;AIM2;TRIM5;IFIT5;IFI6;FADD;AZI2,0.01918397733059742,0,0,40,pos,GO_Biological_Process_2023
2,Defense Response To Virus (GO:0051607),0.00012411389503939343,5.136125654450262,46.19591098608547,RTP4;NT5C3A;RNASEL;AIM2;TRIM5;IFIT5;IFI6;FADD;AZI2,0.06441511152544518,0,0,40,pos,GO_Biological_Process_2023
3,Regulation Of Viral Entry Into Host Cell (GO:0046596),0.0009633623018811155,10.081632653061224,70.017755335544,SNX3;TRIM5;FURIN;TRIM22,0.25313399373384005,0,0,40,pos,GO_Biological_Process_2023
4,Purine Deoxyribonucleotide Catabolic Process (GO:0009155),0.0009754681839454337,66.65656565656566,462.10284137848555,NUDT18;NUDT16,0.25313399373384005,0,0,40,pos,GO_Biological_Process_2023
5,ERAD Pathway (GO:0036503),0.0020011939426603457,6.018315018315018,37.397877562115745,TOR1A;NPLOC4;JKAMP;ERLIN1;RNF175,0.34744032893437155,0,0,40,pos,GO_Biological_Process_2023
6,Negative Regulation Of Protein Catabolic Process (GO:0042177),0.0020765932331265552,8.061224489795919,49.79439807569174,SNX3;GABARAPL2;IRAK3;FURIN,0.34744032893437155,0,0,40,pos,GO_Biological_Process_2023
7,Endosome To Lysosome Transport (GO:0008333),0.0025341401417975046,7.60377358490566,45.45460491125239,SNX16;SORT1;AKTIP;TPCN2,0.34744032893437155,0,0,40,pos,GO_Biological_Process_2023
8,Proteasome Assembly (GO:0043248),0.0026777674677022855,33.323232323232325,197.36590289038227,NT5C3A;PSMD9,0.34744032893437155,0,0,40,pos,GO_Biological_Process_2023
9,"Heparan Sulfate Proteoglycan Biosynthetic Process, Enzymatic Modification (GO:0015015)",0.004247232134539841,24.98989898989899,136.4820277236255,HS3ST3B1;NDST1,0.42397688803356903,0,0,40,pos,GO_Biological_Process_2023
10,Protein Prenylation (GO:0018342),0.004247232134539841,24.98989898989899,136.4820277236255,PLPP6;FNTB,0.42397688803356903,0,0,40,pos,GO_Biological_Process_2023
