rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,dim,direction,library
1,Cytoplasmic Translation (GO:0002181),7.285255961002945e-86,187.4067439409905,36738.555678645804,RPL30;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL7;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL26;UBA52;RPL12;RPL11;RPS15A;RPS3;RPL13;RPL17;RPL41;RPL35A;RPS28;RPS27;RPS29;RPL27A;RPL22L1;FAU;RPS21;RPS24,6.403739989721589e-83,0,0,60,neg,GO_Biological_Process_2023
2,Peptide Biosynthetic Process (GO:0043043),6.678900490169138e-66,65.278429372769,9796.442438390513,RPL30;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL7;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL12;RPL11;RPS15A;RPS3;RPL13;RPL17;RPL41;RPL35A;RPS28;RPS27;RPS29;RPL27A;FAU;RPS21;RPS24,2.935376765429336e-63,0,0,60,neg,GO_Biological_Process_2023
3,Macromolecule Biosynthetic Process (GO:0009059),9.140856337728827e-64,54.553113553113555,7918.531282632866,RPL30;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL7;EEF1B2;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL12;RPL11;RPS15A;RPS3;RPL13;RPL17;RPL41;RPL35A;RPS28;RPS27;RPS29;RPL27A;FAU;RPS21;RPS24,2.6782709069545462e-61,0,0,60,neg,GO_Biological_Process_2023
4,Translation (GO:0006412),3.022139280541228e-62,42.86953807740325,6072.654871268242,RPL30;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL7;RPS15;EEF1B2;RPS14;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL26;UBA52;RPL12;RPL11;RPS15A;RPS3;RPL13;RPL17;RPL41;RPL35A;MRPL22;RPS28;RPS27;RPS29;RPL27A;RPL22L1;FAU;RPS21;RPS24,6.641151068989349e-60,0,0,60,neg,GO_Biological_Process_2023
5,Gene Expression (GO:0010467),4.1154852757674766e-50,28.15994683207798,3202.194214732292,RPL30;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL7;RPS15;RPS14;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL12;RPL11;RPS15A;RPS3;RPL13;RPL17;RPL41;RPL35A;RPS28;RPS27;RPS29;RPL27A;FAU;RPS21;RPS24,7.235023114799224e-48,0,0,60,neg,GO_Biological_Process_2023
6,Ribonucleoprotein Complex Biogenesis (GO:0022613),2.1154803147060727e-23,26.953018138566755,1407.2218006117532,RPS9;RPS7;RPS8;RPS5;RPS6;RPL11;GTF3A;RPL35A;RPS3A;RPL7;RPS15;RPS14;RPS17;RPS28;RPS16;RPS27;RPS15A;RPS19;RPL38;RPL26;RPS11;RPS13;RPS24,3.0991786610443967e-21,0,0,60,neg,GO_Biological_Process_2023
7,Ribosome Biogenesis (GO:0042254),7.185812061939661e-22,20.474323386537126,996.787592118877,RPS9;RPS7;RPS8;RPS5;RPS6;RPL11;GTF3A;RPL35A;RPS3A;RPL7;MRPL22;RPS15;RPS14;RPS17;RPS28;RPS16;RPS27;RPS15A;RPS19;RPL27;RPL26;RPS11;RPS13;RPS24,9.023326860635659e-20,0,0,60,neg,GO_Biological_Process_2023
8,Ribosomal Small Subunit Biogenesis (GO:0042274),2.4555346625994067e-19,29.571428571428573,1267.158550649301,RPS9;RPS7;RPS8;RPS5;RPS6;RPS3A;RPSA;RPS15;RPS14;RPS17;RPS28;RPS16;RPS15A;RPS27;RPS19;RPS11;RPS13;RPS24,2.6980187105310983e-17,0,0,60,neg,GO_Biological_Process_2023
9,rRNA Metabolic Process (GO:0016072),1.657975368570949e-14,21.04267425320057,667.6965555367734,RPS7;RPS6;RPL11;GTF3A;RPL35A;RPL7;RPS15;RPS17;RPS28;RPS16;RPS27;RPS19;RPL27;RPL26;RPS24,1.6192892766376268e-12,0,0,60,neg,GO_Biological_Process_2023
10,rRNA Processing (GO:0006364),8.244828766675066e-14,18.58642363293526,559.9458452758281,RPS7;RPS6;RPL11;RPL35A;RPL7;RPS15;RPS14;RPS17;RPS28;RPS16;RPS27;RPS19;RPL27;RPL26;RPS24,7.247204485907383e-12,0,0,60,neg,GO_Biological_Process_2023
