rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,dim,direction,library
1,Spliceosome,2.77449437462695e-06,7.390977443609023,94.56786706856566,PRPF38A;HNRNPK;SNW1;DHX8;DDX46;DDX23;DHX38;DHX16;CDC5L;ACIN1,0.0003995271899462808,0,0,60,pos,KEGG_2021_Human
2,Epstein-Barr virus infection,0.0009959348585781862,4.210910652920962,29.105093127375913,USP7;MAVS;SNW1;PSMD11;PSMD2;PSMD1;NFKB1;TAPBP,0.0717073098176294,0,0,60,pos,KEGG_2021_Human
3,Protein processing in endoplasmic reticulum,0.0016975920182318812,4.342600783520789,27.699472308295594,VCP;NPLOC4;ATF6B;UBE4B;SEC23B;UGGT1;SEC24C,0.0814844168751303,0,0,60,pos,KEGG_2021_Human
4,Lysine degradation,0.0036480462723588783,6.828433068142512,38.33184278744158,KMT2D;SETDB1;NSD1;KMT2B,0.12701553549038305,0,0,60,pos,KEGG_2021_Human
5,Viral carcinogenesis,0.004410261648971634,3.6276831976313844,19.675905253493305,USP7;HNRNPK;SNW1;ATF6B;YWHAB;UBR4;NFKB1,0.12701553549038305,0,0,60,pos,KEGG_2021_Human
6,Proteasome,0.010906030338555561,6.996930704757408,31.61520738006147,PSMD11;PSMD2;PSMD1,0.26174472812533345,0,0,60,pos,KEGG_2021_Human
7,mRNA surveillance pathway,0.016905547622331568,4.278332609639601,17.456082420924414,CSTF2;CSTF2T;ACIN1;SMG6,0.347771265373678,0,0,60,pos,KEGG_2021_Human
8,Adherens junction,0.03428251691018052,4.418931024186325,14.905583581524706,PTPN1;WASF2;VCL,0.46943517467746615,0,0,60,pos,KEGG_2021_Human
9,Citrate cycle (TCA cycle),0.036030988496536624,7.132756132756133,23.70482996930019,ACLY;OGDH,0.46943517467746615,0,0,60,pos,KEGG_2021_Human
10,Salmonella infection,0.03949513860079148,2.489117983963345,8.043778139892218,EXOC7;EXOC4;NCKAP1L;KLC1;NFKB1;DNM2,0.46943517467746615,0,0,60,pos,KEGG_2021_Human
