rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library,var_explained,cum_var
1,Nucleolus (GO:0005730),3.573240572779175e-09,4.1753732511189705,81.21014513729945,RBM28;RRN3;MEAF6;NVL;NOLC1;HNRNPR;NUCKS1;NOL6;EXOSC6;EXOSC9;BMS1;EXOSC2;ZC3H14;COX10;MDN1;NOM1;NPM1;NOP14;NOP58;MRPS27;BCKDHB;DDX31;URB1;BAZ1B;ILF3;NFX1;TTC3;LETMD1,2.8777966062651214e-07,0,0,1,pos,GO_Cellular_Component_2023,0.31109592,0.31109592
2,Nuclear Lumen (GO:0031981),4.604474570024194e-09,4.123453735774369,79.15479629878224,RBM28;RRN3;MEAF6;NVL;NOLC1;HNRNPR;NUCKS1;NOL6;EXOSC6;EXOSC9;BMS1;EXOSC2;ZC3H14;COX10;MDN1;NOM1;NPM1;NOP14;NOP58;MRPS27;BCKDHB;DDX31;URB1;BAZ1B;ILF3;NFX1;TTC3;LETMD1,2.8777966062651214e-07,0,0,1,pos,GO_Cellular_Component_2023,0.31109592,0.31109592
3,Intracellular Non-Membrane-Bounded Organelle (GO:0043232),3.247307583118768e-07,3.052368668877697,45.60321032469721,RBM28;RRN3;SET;DYRK2;MEAF6;NVL;NOLC1;HNRNPR;NUCKS1;NOL6;EXOSC6;EXOSC9;BMS1;EXOSC2;ZC3H14;COX10;MDN1;GCN1;NOM1;NPM1;NOP14;NOP58;MRPS27;BCKDHB;DDX31;UBE2G2;URB1;BAZ1B;ILF3;NFX1;TTC3;LETMD1,1.1383922349866996e-05,0,0,1,pos,GO_Cellular_Component_2023,0.31109592,0.31109592
1,miRNA Biogenesis WP2338,0.0014535707837741,49.98989898989899,326.6206097208578,XPO5;DROSHA,0.1444710090556602,0,0,1,pos,WikiPathway_2023_Human,0.31109592,0.31109592
2,exRNA Mechanism Of Action And Biogenesis WP2805,0.0014535707837741,49.98989898989899,326.6206097208578,XPO5;DROSHA,0.1444710090556602,0,0,1,pos,WikiPathway_2023_Human,0.31109592,0.31109592
3,Primary Ovarian Insufficiency WP5316,0.0016417160119961,4.369465017959884,28.017067526816344,EIF2B5;LARS2;DCAF17;AARS2;XPO5;BCKDHB;COX10,0.1444710090556602,0,0,1,pos,WikiPathway_2023_Human,0.31109592,0.31109592
1,NR1I2 human,0.0276271829006745,8.323232323232324,29.871707121892776,BCL2;NOD1,0.3534454184696117,0,0,1,pos,TRRUST_Transcription_Factors_2019,0.31109592,0.31109592
2,E2F1 human,0.045731924796544,3.087912087912088,9.526081111423547,DNMT1;BCL2;DROSHA;MCPH1,0.3534454184696117,0,0,1,pos,TRRUST_Transcription_Factors_2019,0.31109592,0.31109592
3,ARID3A human,0.0585267307609904,19.894472361809044,56.46591775214154,RBL1,0.3534454184696117,0,0,1,pos,TRRUST_Transcription_Factors_2019,0.31109592,0.31109592
1,Ribosome Biogenesis (GO:0042254),5.570279726640731e-09,9.623936130149882,182.91080320946276,NOM1;NOP14;NOP58;NPM1;NVL;DDX31;DDX10;NOLC1;NOL6;BMS1;EXOSC9;EXOSC2;METTL17,6.227572734384336e-06,0,0,1,pos,GO_Biological_Process_2023,0.31109592,0.31109592
2,rRNA Metabolic Process (GO:0016072),2.5391799179538535e-08,12.812865497076023,224.08214926413055,EXOSC6;NOP14;NOP58;NVL;EXOSC9;DIS3L;DDX10;NOLC1;EXOSC2;NOL6,1.4194015741362042e-05,0,0,1,pos,GO_Biological_Process_2023,0.31109592,0.31109592
3,Ribonucleoprotein Complex Biogenesis (GO:0022613),2.917749029000486e-06,8.512368509534559,108.4875669354838,NOM1;NOP14;NOP58;NPM1;NVL;BMS1;DDX31;METTL17;NOL6,0.0008956646223769,0,0,1,pos,GO_Biological_Process_2023,0.31109592,0.31109592
1,Premature ovarian failure (HP:0008209),0.0006040394207294,21.5221174764322,159.51916044937724,EIF2B5;LARS2;AARS2,0.2134592574510893,0,0,1,pos,Human_Phenotype_Ontology,0.31109592,0.31109592
2,Tachypnea (HP:0002789),0.0009905301969888,17.721409375933113,122.5837770787782,ABCD4;OXCT1;INPP5E,0.2134592574510893,0,0,1,pos,Human_Phenotype_Ontology,0.31109592,0.31109592
3,Ketosis (HP:0001946),0.0026840467141937,12.045685279187817,71.31563234569973,MCCC2;OXCT1;BCKDHB,0.2747047907020699,0,0,1,pos,Human_Phenotype_Ontology,0.31109592,0.31109592
1,Metabolism Of RNA R-HSA-8953854,3.0995826092013286e-09,4.473419540229885,87.64322837054237,RBM28;NUP205;SET;PDCD7;TSEN15;HNRNPR;ELAVL1;NOL6;EXOSC6;EXOSC9;BMS1;TYW1;EXOSC2;NOP14;NOP58;NUP210;TEX10;THOC1;CDKAL1;FTSJ1;GTPBP3;ADAT2;HNRNPH1;SRSF7;CNOT9;RBMX,1.5962850437386842e-06,0,0,1,pos,Reactome_2022,0.31109592,0.31109592
2,tRNA Processing R-HSA-72306,1.0576601274005523e-05,8.463487972508592,96.96505118034312,NUP205;NUP210;TSEN15;TYW1;CDKAL1;FTSJ1;GTPBP3;ADAT2,0.0027234748280564,0,0,1,pos,Reactome_2022,0.31109592,0.31109592
3,Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226,8.198178851015917e-05,5.441022482291346,51.19465359088563,RBM28;EXOSC6;NOP14;NOP58;TEX10;BMS1;EXOSC9;EXOSC2;NOL6,0.0140735403609106,0,0,1,pos,Reactome_2022,0.31109592,0.31109592
1,MYC 22102868 ChIP-Seq CA46 Human Blood BurkittsLymphoma,7.882049902269671e-29,5.826496576745274,377.03480572564536,TCERG1;RBM28;NAA40;DYRK2;TMEM41A;PDCD7;SETD6;DIS3L;HNRNPR;MTR;DCAF1;IPO9;GATAD1;CDK5RAP1;METTL16;FNBP4;MCCC2;NOM1;KLF12;MRPS27;RFC1;TEX10;ANGEL1;THOC1;CHD1L;URB1;BAZ1B;ITFG2;GTPBP3;DDX19A;SLC7A6;RAD51D;RNF125;RBL1;NEMP2;NFX1;HNRNPH1;DEPDC5;MRRF;SRSF7;ANAPC1;RNASEH2B;DNMT1;SET;AARS2;PRDM15;NOLC1;AKAP1;NOL6;ZBTB40;DCAF16;EXOSC9;NAA25;DROSHA;BRD9;ASCC3;LRIG2;EXOSC2;MDN1;GCN1;EIF2B5;HSPA9;USP24;NPM1;NOP14;NOP58;PHF10;MGA;RCC2;NR1D2;UBE2G2;MYO9A;TDRD3;ADAT2;LETM1;CDK6;POLR3D;FUBP1;SERBP1;CCDC88C;BCL2;CNOT9;RBMX;RAD18;OTUD3,5.761778478559129e-26,0,0,1,pos,ChEA_2022,0.31109592,0.31109592
2,KDM5B 21448134 ChIP-Seq MESCs Mouse,2.2314781138623064e-25,4.889014950961854,277.51008637691086,RPAIN;TCERG1;RBM28;DGKE;PDCD7;NVL;HNRNPR;NUCKS1;ELAVL1;IPO5;SMPD4;IPO9;EEF2K;SART3;XPO4;AKT3;XPO5;CLCC1;FNBP4;NOM1;MRPS27;RFC1;KDM2B;TEX10;BCKDHB;THOC1;DDX10;CDKAL1;URB1;BAZ1B;GTPBP3;DCTD;DDX19A;SLC7A6;LSG1;ILF3;NFX1;HNRNPH1;ANAPC1;MCPH1;NUP205;DNMT1;CAMK2D;RRN3;SET;PDXDC1;PRDM15;GMPS;DLST;NOD1;AKAP1;MAPK9;EXOSC9;ZNHIT6;BMS1;INPP5E;NAA25;ASCC3;RBBP7;BUB3;EXOSC2;ZC3H14;COX10;MDN1;PTCD3;EIF2B5;HSPA9;CYB5B;USP24;NPM1;NOP14;NOP58;PLEKHA1;PHF10;AGK;MGA;NONO;EXOC6B;DDX31;DDHD2;NAP1L1;MYO9A;MYO19;POLR3A;FUBP1;DNAJA3;SERBP1;TTC3;TPP2;TUBGCP4;R3HDM1;METAP1,8.156052506166731e-23,0,0,1,pos,ChEA_2022,0.31109592,0.31109592
3,RUNX2 24655370 ChIP-Seq MC3T3E1 Mouse Bone,1.4475245331739185e-18,3.632662611137108,149.21770798266675,PDCD7;HNRNPR;MPRIP;CDK5RAP1;NFATC2IP;CLCC1;FNBP4;NOM1;KDM2B;RSAD1;DDX10;CHD1L;GTPBP3;DCTD;LARS2;RFX5;ANAPC1;NUP205;URI1;DNMT1;SET;MEAF6;GMPS;NOLC1;ZBTB5;INPP5B;INPP5F;ZNHIT6;TTC21B;INPP5E;ST3GAL5;ZC3H14;MDN1;GCN1;RCC2;OSBPL3;GFPT1;EXOC6B;HPS4;ABHD15;TIMM10B;CDK6;TDP1;FUBP1;TUBGCP4;RAD18;RBM28;DIS3L;ELAVL1;EEF2K;SART3;GATAD1;METTL16;RFC1;MRPS25;TEX10;ACTR5;BAZ1B;ITFG2;DDX19A;SLC7A6;RAD51D;RBL1;NFX1;DEPDC5;MRRF;MCPH1;CAMK2D;STX17;NOD1;AKAP1;NOL6;ZBTB40;EXOSC6;MTA1;UNK;BMS1;TYW1;NAA25;LRIG2;BUB3;EXOSC2;TRIM44;CYB5B;USP24;PLEKHA1;AGK;MGA;ELP1;DDX31;DDHD2;WWP1;MYO9A;MYO19;LETM1;MPHOSPH9;SERBP1;ESYT2;METAP1;OTUD3,3.527134779167114e-16,0,0,1,pos,ChEA_2022,0.31109592,0.31109592
1,RNA Binding (GO:0003723),3.228119407811713e-14,4.271614472718848,132.69467741640744,TCERG1;RBM28;AARS2;NVL;NOLC1;HNRNPR;NUCKS1;ELAVL1;AKAP1;NOL6;IPO5;EXOSC6;UNK;SART3;ZC3H7B;EXOSC9;BMS1;XPO5;DROSHA;ASCC3;METTL16;EXOSC2;ZC3H14;GCN1;PTCD3;HSPA9;NOM1;NPM1;NOP14;NOP58;MRPS27;RCC2;NONO;ELP1;DDX31;DDX10;NAP1L1;URB1;TDRD3;DDX19A;ILF3;NFX1;HNRNPH1;FUBP1;SERBP1;R3HDM1;SRSF7;RBMX,8.1025797136074e-12,0,0,1,pos,GO_Molecular_Function_2023,0.31109592,0.31109592
2,Ribosome Binding (GO:0043022),0.0002105199505203,7.7206055069816,65.36210680281118,PTCD3;NPM1;MRPS27;SERBP1;MRRF;GCN1,0.0264202537902996,0,0,1,pos,GO_Molecular_Function_2023,0.31109592,0.31109592
3,RNA Exonuclease Activity (GO:0004532),0.0003305707549056,27.395939086294412,219.56995457412373,EXOSC6;EXOSC9;EXOSC2,0.0276577531604388,0,0,1,pos,GO_Molecular_Function_2023,0.31109592,0.31109592
