pc,var_explained_pct,cum_var_pct,pos_term,pos_library,pos_adj_p,neg_term,neg_library,neg_adj_p,best_continuous_var,best_continuous_rho,best_categorical_var,best_categorical_eta2
1,31.109592000000003,31.109592000000003,MYC 22102868 ChIP-Seq CA46 Human Blood BurkittsLymphoma,ChEA_2022,5.761778478559129e-26,Innate Immune System R-HSA-168249,Reactome_2022,3.07811431278773e-15,SMTSISCH,0.3743975031416784,SMNABTCH,0.195116984433857
2,20.21044,51.32003400000001,SPI1 23547873 ChIP-Seq NB4 Human,ChEA_2022,4.5193040277080726e-17,Cellular Responses To Stimuli R-HSA-8953897,Reactome_2022,8.397648759616635e-13,DTHHRDY,0.6640011826269874,SMGEBTCH,0.204429892389177
3,9.455450599999999,60.77548,CREM 20920259 ChIP-Seq GC1-SPG Mouse,ChEA_2022,2.6254826254340857e-35,JARID1A 20064375 ChIP-Seq MESCs Mouse,ChEA_2022,1.3027550221000126e-25,SMTSISCH,0.2944717143106499,SMNABTCH,0.2260165028973598
4,5.736607,66.51209,Mitochondrial Inner Membrane (GO:0005743),GO_Cellular_Component_2023,1.290509509957847e-33,TCF7 22412390 ChIP-Seq EML Mouse,ChEA_2022,4.7482850176160644e-18,SMTSISCH,0.0792305255000531,SMNABTCH,0.1814634277837543
5,3.0038012,69.51589,Hypoxia,MSigDB_Hallmark_2020,4.131080323003568e-14,heme Metabolism,MSigDB_Hallmark_2020,5.791225337153221e-11,SMTSISCH,0.152393740524405,SMNABTCH,0.1036210420572735
6,2.143147,71.659034,heme Metabolism,MSigDB_Hallmark_2020,8.567883271599128e-10,Eukaryotic Translation Elongation R-HSA-156842,Reactome_2022,1.0540380655435371e-40,SMRIN,0.1352312450492301,SMNABTCH,0.2296578314336326
7,1.6563846,73.31542,GATA3 27048872 Chip-Seq THYMUS Human,ChEA_2022,0.0026578051604885,CREB1 23762244 ChIP-Seq HIPPOCAMPUS Rat,ChEA_2022,5.183718702358762e-06,SMRIN,0.0520008343064204,SMNABTCH,0.1799198087527271
8,1.4018694999999999,74.71729,IRF8 27001747 Chip-Seq BMDM Mouse,ChEA_2022,3.0401049889472e-12,Cell Cycle R-HSA-1640170,Reactome_2022,8.341847312579845e-48,AGE_mid,0.1158249440941046,SMNABTCH,0.1071649515325739
9,1.1562874,75.87357999999999,E2F1 human,TRRUST_Transcription_Factors_2019,0.0001142229817868,HSF1 23293686 ChIP-Seq STHDH STRIATAL Mouse,ChEA_2022,2.725363189606523e-07,SMRIN,0.054552202673463,SMNABTCH,0.1547342865396749
10,1.0568278,76.930404,Immune System R-HSA-168256,Reactome_2022,2.467158889914984e-18,Collagen-Containing Extracellular Matrix (GO:0062023),GO_Cellular_Component_2023,2.812922418473717e-05,SMRIN,0.0427680159531303,SMNABTCH,0.1681625459584612
11,0.9228494,77.85325,Extrafollicular And Follicular B Cell Activation By SARS CoV 2 WP5218,WikiPathway_2023_Human,2.6553359129854084e-09,SPI1 23547873 ChIP-Seq NB4 Human,ChEA_2022,1.1877741439021821e-09,AGE_mid,0.1180071465355022,SMNABTCH,0.1524092457562049
12,0.767302,78.620553,SOX2 20726797 ChIP-Seq SW620 Human,ChEA_2022,5.701854221145996e-12,KDM2B 26808549 Chip-Seq SUP-B15 Human,ChEA_2022,1.2079404370789057e-07,SMRIN,0.1184972162753043,SMNABTCH,0.1131714578240178
13,0.7044781,79.32503,EGR1 20690147 ChIP-Seq ERYTHROLEUKEMIA Human,ChEA_2022,6.868204161081144e-08,Interferon Alpha Response,MSigDB_Hallmark_2020,7.950194985249831e-21,SMRIN,0.0987444250947525,SMNABTCH,0.1529207964267147
