pc,eigenvalue,var_explained,cum_var
1,3542.8174,0.31109592,0.31109592
2,2301.602,0.2021044,0.51320034
3,1076.8041,0.094554506,0.6077548
4,653.29535,0.05736607,0.6651209
5,342.0784,0.030038012,0.6951589
6,244.06552,0.02143147,0.71659034
7,188.63213,0.016563846,0.7331542
8,159.64748,0.014018695,0.7471729
9,131.68013,0.011562874,0.7587358
10,120.35349,0.010568278,0.76930404
11,105.09579,0.009228494,0.7785325
12,87.38176,0.00767302,0.78620553
13,80.22726,0.007044781,0.7932503
14,69.13243,0.0060705408,0.7993209
15,65.181816,0.0057236357,0.80504453
16,58.31857,0.005120972,0.8101655
17,54.042297,0.0047454713,0.814911
18,47.93627,0.004209299,0.8191203
19,45.809135,0.0040225144,0.8231428
20,44.86843,0.0039399113,0.82708275
21,40.84859,0.0035869277,0.8306697
22,38.930653,0.0034185129,0.8340882
23,37.09419,0.0032572525,0.8373455
24,33.62657,0.0029527599,0.84029824
25,31.594658,0.0027743368,0.8430726
26,30.929382,0.002715919,0.84578854
27,28.038324,0.0024620541,0.84825057
28,27.636642,0.0024267824,0.8506774
29,25.73713,0.0022599855,0.85293734
30,24.91718,0.0021879855,0.8551253
31,23.594776,0.0020718647,0.85719717
32,22.84565,0.0020060837,0.8592032
33,21.266848,0.0018674486,0.8610707
34,20.2725,0.0017801345,0.86285084
35,19.53995,0.0017158091,0.8645667
36,19.476423,0.0017102308,0.8662769
37,17.653593,0.0015501676,0.86782706
38,17.223257,0.0015123796,0.86933947
39,16.1334,0.001416679,0.87075615
40,15.831153,0.0013901385,0.8721463
41,15.60838,0.0013705768,0.87351686
42,15.095425,0.001325534,0.8748424
43,14.425253,0.001266686,0.87610906
44,13.955688,0.0012254535,0.87733454
45,13.887466,0.0012194628,0.878554
46,13.150792,0.0011547753,0.87970877
47,12.995539,0.0011411423,0.8808499
48,12.644884,0.0011103513,0.8819603
49,12.031493,0.0010564892,0.88301677
50,11.658477,0.0010237346,0.8840405
51,11.1258135,0.0009769612,0.88501745
52,11.066663,0.0009717672,0.88598925
53,10.826102,0.00095064344,0.8869399
54,10.252121,0.00090024195,0.88784015
55,9.914766,0.00087061874,0.8887108
56,9.859942,0.0008658047,0.8895766
57,9.62033,0.00084476423,0.8904214
58,9.239451,0.00081131916,0.8912327
59,9.01513,0.0007916214,0.89202434
60,8.855041,0.0007775639,0.8928019
61,8.764407,0.00076960534,0.8935715
62,8.575637,0.00075302937,0.89432454
63,8.329037,0.00073137536,0.8950559
64,8.172335,0.0007176153,0.89577353
65,7.95515,0.00069854426,0.8964721
66,7.7609606,0.0006814924,0.8971536
67,7.3965454,0.000649493,0.8978031
68,7.3397927,0.0006445095,0.89844763
69,7.3073053,0.0006416568,0.8990893
70,7.1332192,0.00062637025,0.89971566
71,6.9756083,0.0006125304,0.9003282
72,6.7901,0.00059624086,0.90092444
73,6.6582885,0.00058466644,0.9015091
74,6.457379,0.00056702446,0.9020761
75,6.2723374,0.0005507759,0.9026269
76,6.225769,0.00054668676,0.90317357
77,6.1905084,0.0005435905,0.90371716
78,6.093845,0.00053510244,0.9042523
79,6.0341644,0.0005298619,0.9047822
80,5.9749584,0.00052466296,0.9053068
81,5.782543,0.00050776696,0.9058146
82,5.5582876,0.000488075,0.9063027
83,5.5460925,0.00048700414,0.9067897
84,5.4205737,0.0004759823,0.9072657
85,5.3989706,0.0004740853,0.9077398
86,5.32535,0.00046762064,0.9082074
87,5.2879252,0.0004643344,0.90867174
88,5.2151804,0.00045794665,0.9091297
89,5.16304,0.00045336818,0.90958303
90,5.075318,0.00044566527,0.9100287
91,4.9840584,0.00043765173,0.9104664
92,4.9301805,0.0004329207,0.9108993
93,4.849182,0.00042580822,0.9113251
94,4.789787,0.0004205927,0.91174567
95,4.743839,0.00041655797,0.91216224
96,4.6851044,0.00041140048,0.91257364
97,4.642468,0.00040765657,0.9129813
98,4.5742207,0.00040166377,0.91338295
99,4.513449,0.0003963274,0.91377926
100,4.387616,0.00038527796,0.91416454
101,4.3415656,0.00038123425,0.9145458
102,4.2632165,0.0003743544,0.91492015
103,4.2527537,0.00037343564,0.9152936
104,4.224242,0.00037093204,0.9156645
105,4.150224,0.0003644325,0.9160289
106,4.1295156,0.00036261408,0.91639155
107,4.078121,0.0003581011,0.91674966
108,4.0284677,0.00035374102,0.9171034
109,3.9939241,0.00035070773,0.9174541
110,3.973333,0.00034889963,0.91780305
111,3.934614,0.0003454997,0.9181486
112,3.8862402,0.000341252,0.9184898
113,3.8225806,0.000335662,0.91882545
114,3.802644,0.00033391136,0.91915935
115,3.7556705,0.00032978662,0.91948915
116,3.7305532,0.00032758104,0.91981673
117,3.6412573,0.00031973995,0.92013645
118,3.6327913,0.00031899655,0.92045546
119,3.5820875,0.00031454425,0.92077
120,3.5448766,0.00031127673,0.92108124
121,3.5253804,0.00030956476,0.92139083
122,3.5148265,0.00030863803,0.92169946
123,3.493118,0.0003067318,0.9220062
124,3.4480011,0.00030277006,0.922309
125,3.4215178,0.00030044458,0.92260945
126,3.3939283,0.0002980219,0.9229075
127,3.3799708,0.0002967963,0.92320424
128,3.3753812,0.0002963933,0.92350066
129,3.3255613,0.00029201858,0.92379266
130,3.288365,0.00028875237,0.9240814
131,3.2713406,0.00028725746,0.9243686
132,3.2621596,0.00028645125,0.9246551
133,3.2290876,0.0002835472,0.9249386
134,3.2179174,0.00028256635,0.9252212
135,3.2132082,0.00028215282,0.9255034
136,3.193144,0.000280391,0.92578375
137,3.1711154,0.00027845663,0.9260622
138,3.1346884,0.00027525797,0.9263375
139,3.1100378,0.0002730934,0.9266106
140,3.0901706,0.00027134886,0.9268819
141,3.0616562,0.000268845,0.9271507
142,3.0530171,0.0002680864,0.9274188
143,3.038319,0.00026679577,0.9276856
144,3.028603,0.0002659426,0.9279516
145,2.9898736,0.00026254175,0.92821413
146,2.9603033,0.00025994517,0.92847407
147,2.9536946,0.00025936487,0.9287334
148,2.9409127,0.00025824248,0.9289917
149,2.9329128,0.00025754,0.9292492
150,2.9163792,0.00025608818,0.9295053
151,2.9110584,0.00025562095,0.92976093
152,2.894219,0.00025414227,0.9300151
153,2.876151,0.00025255574,0.93026763
154,2.8589957,0.00025104932,0.9305187
155,2.852992,0.00025052213,0.9307692
156,2.8083472,0.00024660185,0.9310158
157,2.7917843,0.00024514747,0.93126094
158,2.7839212,0.000244457,0.9315054
159,2.7687824,0.00024312765,0.9317485
160,2.7612913,0.00024246986,0.931991
161,2.741307,0.00024071503,0.9322317
162,2.7254565,0.0002393232,0.93247104
163,2.7134924,0.00023827262,0.93270934
164,2.6797054,0.00023530578,0.93294466
165,2.6763961,0.00023501519,0.9331797
166,2.6655145,0.00023405967,0.93341374
167,2.652502,0.00023291704,0.9336467
168,2.637625,0.00023161068,0.9338783
169,2.6228976,0.00023031747,0.9341086
170,2.6026685,0.00022854115,0.93433714
171,2.5975037,0.00022808762,0.93456525
172,2.5746236,0.00022607851,0.9347913
173,2.568454,0.00022553676,0.9350169
174,2.561432,0.00022492015,0.9352418
175,2.555296,0.00022438135,0.9354662
176,2.5402653,0.0002230615,0.9356892
177,2.530555,0.00022220884,0.9359114
178,2.5156045,0.00022089602,0.9361323
179,2.5094585,0.00022035635,0.93635267
180,2.495844,0.00021916084,0.93657184
181,2.4928355,0.00021889668,0.9367907
182,2.466227,0.00021656018,0.93700725
183,2.4590845,0.00021593299,0.9372232
184,2.446367,0.00021481626,0.937438
185,2.442414,0.00021446915,0.93765247
186,2.4275823,0.00021316677,0.9378656
187,2.4173932,0.00021227206,0.93807787
188,2.4082959,0.00021147322,0.93828934
189,2.3994484,0.00021069632,0.93850005
190,2.3847203,0.00020940305,0.93870944
191,2.3797235,0.00020896428,0.9389184
192,2.3768036,0.00020870788,0.93912715
193,2.3569462,0.00020696419,0.9393341
194,2.3553388,0.00020682304,0.9395409
195,2.3501341,0.00020636602,0.9397473
196,2.3307147,0.0002046608,0.93995196
197,2.3219512,0.00020389126,0.94015586
198,2.30604,0.0002024941,0.94035834
199,2.2928739,0.00020133799,0.9405597
200,2.2847905,0.00020062817,0.9407603
201,2.2831066,0.00020048031,0.9409608
202,2.27425,0.00019970261,0.9411605
203,2.264404,0.00019883804,0.94135934
204,2.2517054,0.00019772297,0.94155705
205,2.2470608,0.00019731512,0.94175434
206,2.2371378,0.00019644378,0.9419508
207,2.2242186,0.00019530935,0.9421461
208,2.2124445,0.00019427546,0.9423404
209,2.205299,0.000193648,0.942534
210,2.1962314,0.00019285177,0.9427269
211,2.1851642,0.00019187995,0.9429188
212,2.1792269,0.0001913586,0.9431101
213,2.1781871,0.0001912673,0.9433014
214,2.1672552,0.00019030736,0.9434917
215,2.1557837,0.00018930004,0.943681
216,2.1470954,0.00018853713,0.94386953
217,2.1376643,0.00018770898,0.9440572
218,2.122084,0.00018634085,0.94424355
219,2.1203127,0.00018618532,0.94442976
220,2.1158469,0.00018579318,0.94461554
221,2.1116652,0.00018542599,0.944801
222,2.1048696,0.00018482926,0.9449858
223,2.0890572,0.00018344077,0.94516927
224,2.081863,0.00018280905,0.9453521
225,2.0803373,0.00018267508,0.94553477
226,2.0697823,0.00018174824,0.9457165
227,2.0575557,0.00018067461,0.94589716
228,2.0529585,0.00018027093,0.9460774
229,2.0499985,0.00018001102,0.9462574
230,2.0440836,0.00017949163,0.9464369
231,2.0380077,0.0001789581,0.9466158
232,2.0295396,0.00017821451,0.94679403
233,2.024781,0.00017779665,0.94697183
234,2.0208418,0.00017745075,0.9471493
235,2.0095026,0.00017645507,0.9473257
236,2.0014122,0.00017574463,0.9475015
237,1.9991192,0.00017554329,0.947677
238,1.9886146,0.00017462087,0.94785166
239,1.9817867,0.00017402132,0.9480257
240,1.9793378,0.00017380629,0.9481995
241,1.9647079,0.00017252161,0.948372
242,1.9587668,0.00017199993,0.948544
243,1.9577241,0.00017190837,0.9487159
244,1.9500822,0.00017123733,0.94888717
245,1.9452549,0.00017081345,0.949058
246,1.9352303,0.00016993318,0.9492279
247,1.9297446,0.00016945148,0.9493974
248,1.9264784,0.00016916468,0.94956654
249,1.9184647,0.00016846099,0.949735
250,1.9120966,0.0001679018,0.9499029
251,1.9113616,0.00016783726,0.95007074
252,1.9041475,0.00016720379,0.95023793
253,1.898813,0.00016673536,0.95040464
254,1.8950925,0.00016640867,0.95057106
255,1.8889726,0.00016587129,0.95073694
256,1.8826882,0.00016531945,0.9509023
257,1.8764174,0.0001647688,0.95106703
258,1.8687011,0.00016409124,0.9512311
259,1.8618077,0.00016348592,0.9513946
260,1.8520507,0.00016262915,0.9515572
261,1.8481045,0.00016228264,0.9517195
262,1.845373,0.0001620428,0.9518816
263,1.8388065,0.00016146617,0.95204306
264,1.8324506,0.00016090806,0.952204
265,1.8281461,0.0001605301,0.9523645
266,1.8221096,0.00016000003,0.9525245
267,1.8160399,0.00015946703,0.9526839
268,1.8129933,0.00015919951,0.9528431
269,1.8055003,0.00015854154,0.9530017
270,1.8016903,0.000158207,0.95315987
271,1.797592,0.00015784713,0.9533177
272,1.7896051,0.0001571458,0.9534748
273,1.7830228,0.0001565678,0.9536314
274,1.7805698,0.0001563524,0.95378774
275,1.775753,0.00015592943,0.95394367
276,1.7729428,0.00015568266,0.95409936
277,1.7678733,0.00015523752,0.95425457
278,1.756235,0.00015421555,0.95440876
279,1.7519096,0.00015383573,0.9545626
280,1.7442365,0.00015316195,0.9547158
281,1.7408057,0.0001528607,0.9548687
282,1.7384343,0.00015265247,0.9550213
283,1.7334111,0.00015221137,0.95517355
284,1.7276226,0.00015170309,0.95532525
285,1.7183834,0.00015089179,0.95547616
286,1.7144191,0.00015054368,0.9556267
287,1.7124101,0.00015036727,0.9557771
288,1.7053564,0.00014974788,0.95592684
289,1.6983433,0.00014913206,0.95607597
290,1.6942742,0.00014877475,0.95622474
291,1.6881682,0.00014823859,0.956373
292,1.6853153,0.00014798806,0.956521
293,1.6841826,0.00014788861,0.95666885
294,1.6809369,0.0001476036,0.95681643
295,1.6704344,0.00014668137,0.9569631
296,1.6683309,0.00014649666,0.95710963
297,1.6668937,0.00014637047,0.957256
298,1.6630695,0.00014603465,0.95740205
299,1.6625043,0.00014598503,0.957548
300,1.656123,0.00014542468,0.95769346
301,1.6517009,0.00014503638,0.9578385
302,1.6445433,0.00014440787,0.9579829
303,1.6402142,0.00014402773,0.9581269
304,1.6385263,0.00014387952,0.9582708
305,1.62527,0.00014271548,0.9584135
306,1.6201423,0.00014226521,0.95855576
307,1.6150777,0.00014182049,0.95869756
308,1.609842,0.00014136072,0.95883894
309,1.6052372,0.00014095638,0.9589799
310,1.601048,0.00014058853,0.9591205
311,1.5968148,0.00014021681,0.9592607
312,1.5951127,0.00014006735,0.9594008
313,1.5863196,0.00013929523,0.95954007
314,1.5847119,0.00013915406,0.95967925
315,1.5797297,0.00013871657,0.95981795
316,1.5773699,0.00013850935,0.95995647
