pc,var_explained,cum_var,best_continuous_var,best_continuous_rho,best_categorical_var,best_categorical_eta2
1,0.3110959231853485,0.3110959231853485,SMTSISCH,0.37439750314167847,SMNABTCH,0.19511698443385705
2,0.20210440456867218,0.5132003426551819,DTHHRDY,0.6640011826269874,SMGEBTCH,0.20442989238917703
3,0.09455450624227524,0.6077548265457153,SMTSISCH,0.29447171431064995,SMNABTCH,0.2260165028973598
4,0.05736606940627098,0.6651208996772766,SMTSISCH,0.0792305255000531,SMNABTCH,0.1814634277837543
5,0.03003801219165325,0.6951588988304138,SMTSISCH,0.15239374052440507,SMNABTCH,0.10362104205727357
6,0.021431470289826393,0.7165903449058533,SMRIN,0.13523124504923012,SMNABTCH,0.22965783143363266
7,0.016563845798373222,0.7331541776657104,SMRIN,0.05200083430642047,SMNABTCH,0.17991980875272717
8,0.014018694870173931,0.7471728920936584,AGE_mid,0.11582494409410465,SMNABTCH,0.1071649515325739
9,0.011562873609364033,0.7587357759475708,SMRIN,0.05455220267346304,SMNABTCH,0.1547342865396749
10,0.010568277910351753,0.7693040370941162,SMRIN,0.04276801595313038,SMNABTCH,0.16816254595846122
11,0.009228494018316269,0.7785325050354004,AGE_mid,0.11800714653550223,SMNABTCH,0.1524092457562049
12,0.0076730200089514256,0.786205530166626,SMRIN,0.11849721627530437,SMNABTCH,0.11317145782401783
13,0.007044780999422073,0.793250322341919,SMRIN,0.09874442509475256,SMNABTCH,0.1529207964267147
14,0.006070540752261877,0.7993208765983582,SMTSISCH,0.08502625999077058,SMNABTCH,0.16586885549825886
15,0.005723635666072369,0.8050445318222046,AGE_mid,0.11935909074133148,SMNABTCH,0.25471778111669574
16,0.005120972171425819,0.810165524482727,DTHHRDY,0.03537966547207333,SMNABTCH,0.20327559383231203
17,0.00474547129124403,0.8149110078811646,SMRIN,0.11347542105492278,SMNABTCH,0.2291988128223485
18,0.0042092991061508656,0.8191202878952026,SMRIN,0.13503641248171241,SMNABTCH,0.15182443588292144
19,0.004022514447569847,0.8231428265571594,SMRIN,0.12003566173328727,SMNABTCH,0.1719137458403253
20,0.0039399112574756145,0.8270827531814575,AGE_mid,0.06520096677832529,SMNABTCH,0.2669631641473588
21,0.0035869276616722345,0.8306697010993958,SMRIN,0.0781002566511668,SMNABTCH,0.2830934287909233
22,0.003418512875214219,0.8340882062911987,SMRIN,0.07201516898540025,SMNABTCH,0.1758484548192851
23,0.0032572525087743998,0.8373454809188843,SMTSISCH,0.09916868478750475,SMNABTCH,0.15657492354658212
24,0.00295275985263288,0.8402982354164124,SMRIN,0.08987140736900585,SMNABTCH,0.20991643004983643
25,0.002774336840957403,0.8430725932121277,SMRIN,0.17094533391995254,SMNABTCH,0.19970685789273537
26,0.0027159189339727163,0.8457885384559631,AGE_mid,0.08806144929322862,SMNABTCH,0.18715826971642058
27,0.0024620541371405125,0.8482505679130554,SMRIN,0.03704773919344568,SMNABTCH,0.16779614037379703
28,0.002426782390102744,0.8506773710250854,SMRIN,0.05114160633067498,SMNABTCH,0.1731921543935376
29,0.0022599855437874794,0.8529373407363892,SMRDLGTH,0.05531833702446113,SMNABTCH,0.21133211122983428
30,0.002187985461205244,0.8551253080368042,SMRDLGTH,0.05440573530273899,SMNABTCH,0.1407170550730368
31,0.0020718646701425314,0.8571971654891968,AGE_mid,0.08002888724074166,SMNABTCH,0.13587762145348298
32,0.0020060837268829346,0.8592032194137573,SMTSISCH,0.05196394711640017,SMGEBTCH,0.2567881102176345
33,0.0018674485618248582,0.8610706925392151,SMRDLGTH,0.046946022238553924,SMNABTCH,0.2404526604607092
34,0.0017801345093175769,0.8628508448600769,AGE_mid,0.036689195374523996,SMNABTCH,0.2619743222674095
35,0.0017158091068267822,0.8645666837692261,DTHHRDY,0.045442574345349276,SMNABTCH,0.1802359243711655
36,0.001710230833850801,0.8662769198417664,DTHHRDY,0.05015967512465695,SMNABTCH,0.1897503510083929
37,0.001550167566165328,0.8678270578384399,SMRIN,0.11809018913338915,SMGEBTCH,0.21332305308247895
38,0.0015123796183615923,0.8693394660949707,SMRDLGTH,0.06700867515741792,SMNABTCH,0.16086089419319224
39,0.0014166790060698986,0.8707561492919922,SMRIN,0.060154830670429746,SMGEBTCH,0.21778396046697773
40,0.0013901385245844722,0.8721463084220886,SMRIN,0.06759040876178492,SMNABTCH,0.22489616867558596
41,0.001370576792396605,0.873516857624054,SMTSISCH,0.04483817393256247,SMNABTCH,0.1687308986735446
42,0.0013255339581519365,0.8748424053192139,AGE_mid,0.05085766170217174,SMNABTCH,0.14634809623639744
43,0.001266686012968421,0.8761090636253357,SMRDLGTH,0.07744437783036234,SMNABTCH,0.1983951868183616
44,0.001225453452207148,0.8773345351219177,DTHHRDY,0.07315352863869555,SMNABTCH,0.19689273718284778
45,0.0012194628361612558,0.8785539865493774,AGE_mid,0.026491858149984903,SMNABTCH,0.2431721631193231
46,0.0011547752656042576,0.8797087669372559,AGE_mid,0.12133109405910351,SMNABTCH,0.17202110818083113
47,0.0011411423329263926,0.8808498978614807,AGE_mid,0.09159070618831015,SMGEBTCH,0.18474804058964597
48,0.001110351295210421,0.8819602727890015,SMRIN,0.07099691105752648,SMNABTCH,0.18995559290541594
49,0.0010564891854301095,0.8830167651176453,SMTSISCH,0.07247820028930568,SMNABTCH,0.2919374729282108
50,0.0010237345704808831,0.8840404748916626,SMRDLGTH,0.06233446994392546,SEX,0.220211726868687
51,0.0009769612224772573,0.885017454624176,SMTSISCH,0.08245837273933959,SMNABTCH,0.13057689898145128
52,0.0009717671782709658,0.885989248752594,AGE_mid,0.059935823784212285,SMNABTCH,0.18649288050315158
53,0.0009506434435024858,0.8869398832321167,AGE_mid,0.0781203061761646,SMNABTCH,0.2362799333676342
54,0.0009002419537864625,0.8878401517868042,SMRIN,0.0772461085411617,SMNABTCH,0.222101658521501
55,0.000870618736371398,0.8887107968330383,SMRDLGTH,0.07365810053573363,SMNABTCH,0.2204373200018441
56,0.0008658046717755497,0.8895766139030457,AGE_mid,0.07027078464856511,SMGEBTCH,0.19608285083002938
57,0.0008447642321698368,0.8904213905334473,SMTSISCH,0.06409453002654932,SMNABTCH,0.15465927391312725
58,0.0008113191579468548,0.8912327289581299,SMRDLGTH,0.05750125577867896,SMNABTCH,0.21514828876270342
59,0.0007916213944554329,0.8920243382453918,AGE_mid,0.06685776173859274,SMNABTCH,0.2437188791045636
60,0.000777563895098865,0.8928018808364868,SMRIN,0.02785958422592323,SMNABTCH,0.2076046394740232
61,0.0007696053362451494,0.8935714960098267,SMTSISCH,0.06616380183317959,SMNABTCH,0.181425451633043
62,0.0007530293660238385,0.894324541091919,SMRDLGTH,0.06569624816804391,SMNABTCH,0.18943905354403456
63,0.0007313753594644368,0.895055890083313,SMTSISCH,0.09806579181844505,SMNABTCH,0.16073950985026597
64,0.0007176153012551367,0.8957735300064087,AGE_mid,0.04828489331909923,SMNABTCH,0.13169044086706724
65,0.0006985442596487701,0.8964720964431763,AGE_mid,0.07980973962981572,SMNABTCH,0.1507082731839644
66,0.0006814923835918307,0.8971536159515381,SMTSISCH,0.034558867637062625,SMNABTCH,0.11660037450728578
67,0.0006494930130429566,0.8978031277656555,AGE_mid,0.08390237786936271,SMGEBTCH,0.10560260859625674
68,0.0006445095059461892,0.8984476327896118,AGE_mid,0.1331835882973786,SMNABTCH,0.17625243488551365
69,0.000641656806692481,0.8990892767906189,SMRIN,0.04648890162929354,SMNABTCH,0.21901026118979813
70,0.0006263702525757253,0.8997156620025635,SMRIN,0.05542829394780789,SMNABTCH,0.2354245926953699
71,0.0006125303916633129,0.9003282189369202,SMRDLGTH,0.04408561568851785,SMNABTCH,0.1508560571834783
72,0.0005962408613413572,0.9009244441986084,AGE_mid,0.03588414465432543,SMGEBTCH,0.16070997360273695
73,0.000584666442591697,0.9015091061592102,SMTSISCH,0.011225353241146494,SMNABTCH,0.1989398705540849
74,0.0005670244572684169,0.9020761251449585,SMRDLGTH,0.0660993632760769,SMNABTCH,0.22777903920952225
75,0.0005507759051397443,0.9026268720626831,DTHHRDY,0.028846409055958085,SMNABTCH,0.1421858054898391
76,0.0005466867587529123,0.903173565864563,SMRDLGTH,0.05583045551045517,SMNABTCH,0.12169145529548522
77,0.0005435905186459422,0.9037171602249146,SMRIN,0.07916119472955338,SMNABTCH,0.18431435765987397
78,0.0005351024447008967,0.904252290725708,SMRDLGTH,0.05329870401449279,SMNABTCH,0.19215271282579402
79,0.0005298618925735354,0.9047821760177612,DTHHRDY,0.08180206630824542,SMNABTCH,0.3147221302038445
80,0.0005246629589237273,0.9053068161010742,AGE_mid,0.04407734590413762,SMNABTCH,0.2331336553067213
81,0.0005077669629827142,0.9058145880699158,SMRDLGTH,0.08579443136302399,SMNABTCH,0.1653954077500059
82,0.00048807499115355313,0.9063026905059814,SMRDLGTH,0.07024587809243804,SMNABTCH,0.19739043843608545
83,0.00048700414481572807,0.9067897200584412,DTHHRDY,0.02956698611684635,SMNABTCH,0.20773996212764578
84,0.00047598229139111936,0.9072657227516174,AGE_mid,0.048212293747838426,SMNABTCH,0.2176083083824447
