pc,var_explained,cum_var,direction,best_term_overall,best_library_overall,best_adj_p_overall,best_combined_overall
1,0.3110959231853485,0.3110959231853485,pos,MYC 22102868 ChIP-Seq CA46 Human Blood BurkittsLymphoma,ChEA_2022,5.761778478559129e-26,377.03480572564536
1,0.3110959231853485,0.3110959231853485,neg,Innate Immune System R-HSA-168249,Reactome_2022,3.07811431278773e-15,225.58444563586824
2,0.20210440456867218,0.5132003426551819,pos,SPI1 23547873 ChIP-Seq NB4 Human,ChEA_2022,4.5193040277080726e-17,187.2700775389612
2,0.20210440456867218,0.5132003426551819,neg,Cellular Responses To Stress R-HSA-2262752,Reactome_2022,8.397648759616635e-13,210.0964078521706
3,0.09455450624227524,0.6077548265457153,pos,CREM 20920259 ChIP-Seq GC1-SPG Mouse,ChEA_2022,2.6254826254340857e-35,567.2447906819287
3,0.09455450624227524,0.6077548265457153,neg,JARID1A 20064375 ChIP-Seq MESCs Mouse,ChEA_2022,1.3027550221000126e-25,411.34198237676793
4,0.05736606940627098,0.6651208996772766,pos,Mitochondrial Inner Membrane (GO:0005743),GO_Cellular_Component_2023,1.290509509957847e-33,1406.6229309089347
4,0.05736606940627098,0.6651208996772766,neg,TCF7 22412390 ChIP-Seq EML Mouse,ChEA_2022,4.7482850176160644e-18,241.98850343908578
5,0.03003801219165325,0.6951588988304138,pos,Hypoxia,MSigDB_Hallmark_2020,4.1310803230035674e-14,444.0647994685546
5,0.03003801219165325,0.6951588988304138,neg,heme Metabolism,MSigDB_Hallmark_2020,5.791225337153221e-11,288.5693815744541
6,0.021431470289826393,0.7165903449058533,pos,heme Metabolism,MSigDB_Hallmark_2020,8.567883271599129e-10,246.03113001667265
6,0.021431470289826393,0.7165903449058533,neg,Eukaryotic Translation Elongation R-HSA-156842,Reactome_2022,1.0540380655435373e-40,6742.256233577588
7,0.016563845798373222,0.7331541776657104,pos,CTCF 33576154 ChIP-Seq Human Liver ProstateCancer,ChEA_2022,0.0026578051604885084,25.074773870013694
7,0.016563845798373222,0.7331541776657104,neg,CREB1 23762244 ChIP-Seq HIPPOCAMPUS Rat,ChEA_2022,5.183718702358762e-06,53.94857144190793
8,0.014018694870173931,0.7471728920936584,pos,IRF8 27001747 Chip-Seq BMDM Mouse,ChEA_2022,3.0401049889471997e-12,143.53669683726636
8,0.014018694870173931,0.7471728920936584,neg,Cell Cycle R-HSA-1640170,Reactome_2022,8.341847312579845e-48,1935.625949458087
9,0.011562873609364033,0.7587357759475708,pos,E2F1 human,TRRUST_Transcription_Factors_2019,0.00011422298178687512,115.43607017884145
9,0.011562873609364033,0.7587357759475708,neg,HSF1 23293686 ChIP-Seq STHDH STRIATAL Mouse,ChEA_2022,2.7253631896065227e-07,104.44948130609586
10,0.010568277910351753,0.7693040370941162,pos,Immune System R-HSA-168256,Reactome_2022,2.467158889914984e-18,231.93349744204446
10,0.010568277910351753,0.7693040370941162,neg,Collagen-Containing Extracellular Matrix (GO:0062023),GO_Cellular_Component_2023,2.812922418473717e-05,77.58291494503807
11,0.009228494018316269,0.7785325050354004,pos,Extrafollicular And Follicular B Cell Activation By SARS CoV 2 WP5218,WikiPathway_2023_Human,2.6553359129854092e-09,516.4780738245307
11,0.009228494018316269,0.7785325050354004,neg,SPI1 23547873 ChIP-Seq NB4 Human,ChEA_2022,1.187774143902182e-09,86.25177202153097
12,0.0076730200089514256,0.786205530166626,pos,SOX2 20726797 ChIP-Seq SW620 Human,ChEA_2022,5.701854221145996e-12,127.01129431811417
12,0.0076730200089514256,0.786205530166626,neg,KDM2B 26808549 Chip-Seq SUP-B15 Human,ChEA_2022,1.2079404370789057e-07,75.42228515531501
13,0.007044780999422073,0.793250322341919,pos,EGR1 20690147 ChIP-Seq ERYTHROLEUKEMIA Human,ChEA_2022,6.868204161081144e-08,59.56099175122283
13,0.007044780999422073,0.793250322341919,neg,Interferon Alpha Response,MSigDB_Hallmark_2020,7.950194985249831e-21,1525.0329049230006
14,0.006070540752261877,0.7993208765983582,pos,Interferon Gamma Response,MSigDB_Hallmark_2020,3.6574363667207914e-58,6341.026969429249
14,0.006070540752261877,0.7993208765983582,neg,"Platelet Activation, Signaling And Aggregation R-HSA-76002",Reactome_2022,4.203996711931309e-08,189.10032981676858
15,0.005723635666072369,0.8050445318222046,pos,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,5.287337107008398e-07,143.16657037615133
15,0.005723635666072369,0.8050445318222046,neg,heme Metabolism,MSigDB_Hallmark_2020,3.526531983051826e-14,444.0647994685546
16,0.005120972171425819,0.810165524482727,pos,Myogenesis,MSigDB_Hallmark_2020,6.664776556723301e-08,173.54680844809113
16,0.005120972171425819,0.810165524482727,neg,MYC 19030024 ChIP-ChIP MESCs Mouse,ChEA_2022,7.461244251250774e-08,66.31214168703306
