col,pc,rho,p,n
SMRIN,PC1,0.21250589594104724,1.186543278474909e-09,803
SMRIN,PC2,0.4603053536937286,2.3440347933059236e-43,803
SMRIN,PC6,0.13523124504923012,0.00012115240271094323,803
SMTSISCH,PC1,0.37439750314167847,5.891803317548867e-28,798
SMTSISCH,PC2,-0.6522872017674881,6.919106631661448e-98,798
SMTSISCH,PC6,-0.09418145588992427,0.007761533826605188,798
SMRDTTL,PC1,-0.08932004017205551,0.011334779603771866,803
SMRDTTL,PC2,-0.09810337819694924,0.005396448408312944,803
SMRDTTL,PC6,-0.036104164413782926,0.3068602782359295,803
SMALTTL,PC1,-0.09815475901054228,0.005372146858440342,803
SMALTTL,PC2,-0.45085602474919,1.8566382681282021e-41,803
SMALTTL,PC6,0.07407106293299114,0.03585356667081139,803
SMALTALG,PC1,-0.09284471299771428,0.00847455546951865,803
SMALTALG,PC2,-0.5654784851591955,4.743661059572759e-69,803
SMALTALG,PC6,0.10921519179319783,0.001939699563278862,803
SMSUPALG,PC1,0.08224812221606866,0.019753060357275753,803
SMSUPALG,PC2,0.4658101297217233,1.7221954693609507e-44,803
SMSUPALG,PC6,-0.0971963816550655,0.005842056376298794,803
SMRDLGTH,PC1,-0.0051942193164011795,0.8831623161556071,803
SMRDLGTH,PC2,-0.042040760568960944,0.23405030067912833,803
SMRDLGTH,PC6,0.026891264936604604,0.4466718966429188,803
SMVQCFL,PC1,0.0010183922917933322,0.9770133386178029,803
SMVQCFL,PC2,-0.1641632753861893,2.9188152314546104e-06,803
SMVQCFL,PC6,0.06543176268729489,0.06384589859186549,803
SMLMAPQ,PC1,-0.0981486405916029,0.005375035500647647,803
SMLMAPQ,PC2,-0.5732927027054212,2.397856243077519e-71,803
SMLMAPQ,PC6,0.10736131085457117,0.00231603604153471,803
SMUMPRD,PC1,-0.10048710494539287,0.004367659787059808,803
SMUMPRD,PC2,-0.10139494853135002,0.004025020761274237,803
SMUMPRD,PC6,-0.04567624543778006,0.19601175564085443,803
SMUNPDRD,PC1,,,803
SMUNPDRD,PC2,,,803
SMUNPDRD,PC6,,,803
