pc,var_explained,median_abs_cos,p5_abs_cos,p95_abs_cos,sign_flip_rate
1,0.31109616,0.9963871,0.984442749619484,0.9988433122634888,0.0
2,0.2021047,0.995532,0.9832807809114457,0.9981485635042191,0.0
3,0.094554506,0.99428076,0.9856950104236603,0.9971274942159652,0.46
4,0.057366174,0.9904479,0.9768499851226806,0.9949246555566787,0.08
5,0.030038057,0.98361874,0.9579016417264938,0.991276678442955,0.0
6,0.021431476,0.96954346,0.9043179780244828,0.9858940333127976,0.04
7,0.016563853,0.93403345,0.7117606997489929,0.9750204414129258,0.0
8,0.014018714,0.91319954,0.7065982282161712,0.9656748473644257,0.34
9,0.011562872,0.8602805,0.7079893857240677,0.9550980359315873,0.24
10,0.010568269,0.8324119,0.6864108860492706,0.9332325190305709,0.36
11,0.009228504,0.88312846,0.7390637814998626,0.940291804075241,0.08
12,0.0076730186,0.80744624,0.6413107126951217,0.9392259895801544,0.06
13,0.0070447815,0.83260286,0.5697706371545792,0.9105761975049972,0.38
14,0.00607054,0.7686391,0.6088061898946762,0.9054604500532151,0.52
15,0.0057236385,0.6451311,0.5225533664226532,0.8701754808425903,0.32
16,0.0051209806,0.6997925,0.5165268123149872,0.902761834859848,0.1
17,0.004745474,0.72550416,0.4253759324550629,0.8815089046955108,0.36
18,0.004209307,0.64251626,0.46887802928686145,0.8203556805849075,0.52
19,0.004022511,0.61603695,0.46208960115909575,0.8018324136734009,0.54
20,0.0039399117,0.6514153,0.46817840784788134,0.8016926854848861,0.42
21,0.0035869253,0.57795954,0.3688598796725273,0.8419951558113098,0.3
22,0.0034185154,0.6253738,0.3679126471281052,0.787401208281517,0.12
23,0.0032572525,0.6582325,0.35415611416101456,0.8041708409786225,0.62
24,0.0029527622,0.6111946,0.30666914731264117,0.7925115019083023,0.76
25,0.002774338,0.5952888,0.40216782689094543,0.7518307447433472,0.38
26,0.002715919,0.51310325,0.40166683197021485,0.743917715549469,0.5
27,0.002462056,0.5515872,0.35993223637342453,0.747553339600563,0.44
28,0.0024267856,0.53661984,0.37984284907579424,0.7189665764570234,0.52
29,0.0022599858,0.5511034,0.4078599765896797,0.733692517876625,0.44
30,0.0021879885,0.5738013,0.2802994877099991,0.7734077960252762,0.48
31,0.0020718672,0.5055728,0.33837498277425765,0.6900568962097168,0.58
32,0.0020060886,0.47894698,0.30525230765342715,0.6943368941545487,0.5
33,0.0018674525,0.5051354,0.32780781686306,0.6835478276014327,0.54
34,0.0017801358,0.48023057,0.2818797409534454,0.6812813699245452,0.64
35,0.0017158098,0.4328887,0.2666315406560898,0.6470955640077589,0.64
36,0.0017102319,0.4501314,0.2601125404238701,0.7095159977674483,0.36
37,0.0015501686,0.4550957,0.24548949301242828,0.6248417049646378,0.5
38,0.0015123768,0.42986497,0.30924333035945895,0.5854136109352112,0.56
39,0.0014166766,0.45588428,0.30555434674024584,0.6126136809587478,0.4
40,0.0013901338,0.42354444,0.31578620672225954,0.5642326712608337,0.36
41,0.0013705733,0.43477935,0.2530976876616478,0.5649297446012496,0.66
42,0.0013255293,0.43302748,0.26976639181375506,0.592906528711319,0.5
43,0.0012666779,0.40021217,0.2823366612195969,0.5431414514780044,0.56
44,0.0012254459,0.3811097,0.2376018948853016,0.5354473412036895,0.28
45,0.0012194583,0.38165215,0.21038212180137633,0.5690824627876282,0.6
46,0.0011547629,0.412719,0.2773564890027046,0.59319069981575,0.56
47,0.0011411287,0.3724783,0.22400427162647246,0.5273927122354507,0.48
48,0.0011103415,0.38098332,0.21742762476205826,0.5385100334882735,0.62
49,0.0010564498,0.39915746,0.24162468686699867,0.5457144737243652,0.64
50,0.0010236619,0.35901743,0.26639977991580965,0.49731437414884555,0.38
51,0.0009769325,0.3546129,0.23057831972837448,0.49980986565351476,0.5
52,0.0009717117,0.3513992,0.22513145282864572,0.4947084307670593,0.5
53,0.00095060206,0.34469143,0.19899907037615777,0.5320807933807373,0.4
54,0.0009001867,0.3587566,0.2605486556887627,0.5310368180274962,0.46
55,0.0008704603,0.32660484,0.19123726040124894,0.45779635161161425,0.36
56,0.00086565886,0.3491023,0.23354900032281875,0.5293064475059509,0.62
57,0.0008444303,0.32049787,0.2106499269604683,0.4242878407239913,0.64
58,0.0008112129,0.29341233,0.20036066100001335,0.43589493930339807,0.58
59,0.00079114723,0.31766978,0.2161251462996006,0.4519343137741088,0.38
60,0.0007773564,0.28382966,0.20269244387745858,0.40059664398431777,0.66
61,0.0007693663,0.33019376,0.2124968722462654,0.4660416156053543,0.54
62,0.0007523377,0.28129923,0.1956070400774479,0.4033684760332107,0.36
63,0.0007310311,0.26457936,0.18319878354668617,0.39509966969490046,0.58
64,0.000717137,0.28476965,0.1829046405851841,0.4181330040097236,0.4
65,0.0006978476,0.31224418,0.20291647762060167,0.4515286356210709,0.5
66,0.00068097794,0.2841481,0.19185364618897438,0.4407247319817542,0.56
67,0.0006476956,0.27500296,0.19539242312312127,0.417287629842758,0.5
68,0.00064342306,0.28266358,0.2086707204580307,0.3990336701273918,0.46
69,0.0006401578,0.27122173,0.21028605625033378,0.4219158738851547,0.34
70,0.00062431145,0.29086787,0.1941177263855934,0.3813148394227028,0.6
71,0.00061107776,0.27161074,0.16078193709254265,0.3638591855764389,0.5
72,0.00059380877,0.27178746,0.19621816352009774,0.3853380680084228,0.36
73,0.0005833404,0.2510913,0.20093252435326575,0.37285052686929704,0.52
74,0.0005645123,0.24906093,0.20093686059117316,0.34093616306781765,0.4
75,0.00054620986,0.25372538,0.1889155961573124,0.38164910823106757,0.52
76,0.0005443166,0.23318714,0.15622681081295015,0.3205536544322968,0.54
77,0.0005394384,0.25334015,0.17577209696173668,0.31988475769758223,0.56
78,0.00052951986,0.24896064,0.18308708295226098,0.35640441179275506,0.46
79,0.0005264188,0.23178251,0.1731868602335453,0.3700989142060279,0.42
80,0.00051440956,0.2186821,0.1494381070137024,0.3031953603029251,0.34
81,0.0005024902,0.22343558,0.16832053512334824,0.34372821897268296,0.4
82,0.00047962766,0.22620165,0.15420167595148088,0.3233106136322021,0.48
83,0.000479152,0.21220538,0.1628214091062546,0.2670458644628525,0.44
84,0.00046853838,0.218766,0.15742953196167947,0.3428999587893486,0.42
85,0.0004634875,0.1923315,0.13385522216558457,0.3231601834297179,0.52
86,0.00045478196,0.2006186,0.15631138011813164,0.31773903965950007,0.36
87,0.00045094776,0.19372153,0.1263773776590824,0.29927318543195724,0.62
88,0.0004462276,0.19840634,0.1297524057328701,0.30729025751352307,0.6
89,0.00044407064,0.18344152,0.11992903687059879,0.26915793418884276,0.56
90,0.00043484356,0.181488,0.11450536474585533,0.29057694673538204,0.46
91,0.00042424217,0.1739552,0.10169939398765564,0.2555264711380005,0.46
92,0.00041266123,0.17028326,0.09009729623794556,0.26050480753183364,0.42
93,0.00040905958,0.17113507,0.10529980808496475,0.2650800034403801,0.46
94,0.00040570163,0.1523604,0.081853948533535,0.2482440762221813,0.42
95,0.00039917335,0.1384117,0.0758744265884161,0.23936627805233002,0.42
96,0.00039585464,0.13447368,0.056229404360055926,0.20377667918801304,0.56
97,0.0003855408,0.09322231,0.0337656082585454,0.22611919194459915,0.56
98,0.00037633601,0.08660613,0.023163390718400477,0.20813177824020376,0.44
99,0.00037172265,0.04422606,0.01023304108530283,0.1776902765035629,0.42
100,0.00035902072,0.023462728,0.0020725209848023955,0.1001167356967926,0.46
