meta,gtex_pc,rho
AGE_cat,1,-0.106054810523516
AGE_cat,2,-0.08868100739252793
AGE_cat,3,-0.0660844045473165
AGE_cat,4,0.08516361166662238
AGE_cat,5,0.1254537808906315
AGE_cat,6,0.010552187177716665
AGE_cat,7,0.0731191959991276
AGE_cat,8,0.1515677794617485
AGE_cat,9,0.10850632875672289
AGE_cat,10,0.11873875268662995
AGE_cat,11,-0.15380612219641565
AGE_cat,12,0.056598094862298484
AGE_cat,13,-0.05435975212763131
AGE_cat,14,0.07077426551519057
AGE_cat,15,-0.14986237547343062
AGE_cat,16,0.05691785811010808
AGE_cat,17,0.05372022563201212
AGE_cat,18,-0.01023242392990707
AGE_cat,19,-0.04071652022108855
AGE_cat,20,0.007780905696700169
CMV_bin,1,-0.04439874857510574
CMV_bin,2,-0.0556593007499514
CMV_bin,3,0.15872016398830072
CMV_bin,4,-0.0497609162774132
CMV_bin,5,0.22317341977003635
CMV_bin,6,-0.05962730484965892
CMV_bin,7,0.062415632054858804
CMV_bin,8,0.1285847815013328
CMV_bin,9,-0.2818355344332799
CMV_bin,10,0.20129577554462194
CMV_bin,11,-0.1857454892079303
CMV_bin,12,-0.05737519441468979
CMV_bin,13,-0.0868671167773808
CMV_bin,14,0.36913162462684534
CMV_bin,15,-0.20569275306051402
CMV_bin,16,0.13930911690594774
CMV_bin,17,-0.12697613119064058
CMV_bin,18,0.3705257882294452
CMV_bin,19,-0.13169483876867114
CMV_bin,20,0.09222928447968826
