gtex_pc,gtex_var_explained,gse_var_explained,best_gse_pc,abs_cos,signed_cos
1,0.31109568,0.08593522,1,0.7498983,0.7498983
2,0.20210458,0.05008527,5,0.22177045,-0.22177045
3,0.094554536,0.043297216,4,0.4308077,0.4308077
4,0.057366163,0.026297476,2,0.42055464,-0.42055464
5,0.030037984,0.015623188,8,0.18885088,0.18885088
6,0.021431493,0.014087913,4,0.27005208,-0.27005208
7,0.016563853,0.011538679,12,0.1572253,-0.1572253
8,0.014018721,0.0112629365,3,0.21292996,-0.21292996
9,0.011562876,0.00929935,6,0.23236088,-0.23236088
10,0.010568268,0.008827139,3,0.25350183,-0.25350183
11,0.0092285015,0.00859085,5,0.21702316,0.21702316
12,0.0076730186,0.008394798,2,0.21222715,-0.21222715
13,0.0070447796,0.007992932,8,0.25296763,0.25296763
14,0.006070536,0.007698722,3,0.24903072,-0.24903072
15,0.005723639,0.0075484444,7,0.119028375,0.119028375
16,0.0051209778,0.0073730196,8,0.13582785,0.13582785
17,0.004745474,0.007091629,6,0.19037282,-0.19037282
18,0.004209311,0.0069727483,6,0.21955582,0.21955582
19,0.0040225163,0.006708111,10,0.08310241,0.08310241
20,0.003939913,0.0066652466,4,0.15022099,0.15022099
21,0.003586929,0.0063682958,6,0.13371587,0.13371587
22,0.003418515,0.0060867434,10,0.17072453,-0.17072453
23,0.003257252,0.0060378104,8,0.09821142,0.09821142
24,0.0029527624,0.0057920325,2,0.1457106,-0.1457106
25,0.0027743347,0.0057104058,5,0.07879365,-0.07879365
26,0.0027159185,0.0055655763,2,0.23482223,-0.23482223
27,0.0024620553,0.0054694046,3,0.107042365,-0.107042365
28,0.0024267847,0.0053600157,18,0.123820126,0.123820126
29,0.0022599858,0.005197746,5,0.11482063,0.11482063
30,0.0021879885,0.005091933,15,0.10067828,-0.10067828
31,0.002071863,0.004999444,4,0.14283223,-0.14283223
32,0.0020060833,0.004935616,6,0.12415591,0.12415591
33,0.0018674514,0.0047948314,12,0.07885562,-0.07885562
34,0.0017801337,0.0046796943,4,0.0849449,-0.0849449
35,0.001715809,0.0046100137,6,0.080229156,-0.080229156
36,0.0017102342,0.004551563,3,0.09667326,0.09667326
37,0.0015501502,0.004526825,22,0.06243082,0.06243082
38,0.0015123733,0.0044463547,23,0.0771612,0.0771612
39,0.0014166578,0.004421743,3,0.09931251,0.09931251
40,0.0013901241,0.004380759,35,0.0929343,0.0929343
41,0.0013705455,0.004303732,25,0.075460024,0.075460024
42,0.0013254846,0.0041061267,15,0.10158768,0.10158768
43,0.0012665093,0.004080303,43,0.060613494,0.060613494
44,0.0012253243,0.00402779,10,0.093218364,0.093218364
45,0.0012193689,0.004000891,9,0.0795956,0.0795956
46,0.0011539285,0.003938796,3,0.11463231,0.11463231
47,0.0011395441,0.00390997,8,0.11845243,-0.11845243
48,0.001108725,0.0038523881,8,0.07891682,-0.07891682
49,0.0010562519,0.003820616,4,0.114842184,-0.114842184
50,0.0010222484,0.0037251594,6,0.09668269,0.09668269
