query,symbol,chr,start,end,strand,notfound
A1BG,A1BG,19,58345178.0,58353492.0,-1.0,False
A1BG-AS1,A1BG-AS1,19,58347718.0,58355455.0,1.0,False
A2M-AS1,A2M-AS1,12,9065163.0,9068689.0,1.0,False
AAAS,AAAS,12,53307456.0,53324864.0,-1.0,False
AACS,AACS,12,125065364.0,125143333.0,1.0,False
AAGAB,AAGAB,15,67200667.0,67255195.0,-1.0,False
AAK1,AAK1,2,69457997.0,69674349.0,-1.0,False
AAMDC,AAMDC,11,77821100.0,77918432.0,1.0,False
AAMP,AAMP,2,218264125.0,218270178.0,-1.0,False
AAR2,AAR2,20,36236131.0,36270918.0,1.0,False
AARS2,AARS2,6,44298726.0,44313347.0,-1.0,False
AARSD1,AARSD1,17,42950431.0,42964498.0,-1.0,False
AASDH,AASDH,4,56337994.0,56387523.0,-1.0,False
AASDHPPT,AASDHPPT,11,106075501.0,106098708.0,1.0,False
AASS,AASS,7,122064583.0,122144489.0,-1.0,False
AATBC,AATBC,21,43805758.0,43812567.0,-1.0,False
AATF,AATF,17,36948925.0,37056874.0,1.0,False
AATK,AATK,17,81110487.0,81166223.0,-1.0,False
ABAT,ABAT,16,8674596.0,8784575.0,1.0,False
ABCA1,ABCA1,9,104781006.0,104928155.0,-1.0,False
ABCA2,ABCA2,9,137007234.0,137028915.0,-1.0,False
ABCA3,ABCA3,16,2275878.0,2340749.0,-1.0,False
ABCA5,ABCA5,17,69244311.0,69327244.0,-1.0,False
ABCA7,ABCA7,19,1039997.0,1065572.0,1.0,False
ABCB1,ABCB1,7,87503017.0,87713375.0,-1.0,False
ABCB10,ABCB10,1,229516582.0,229558957.0,-1.0,False
ABCB4,ABCB4,7,87401696.0,87480435.0,-1.0,False
ABCB7,ABCB7,X,75051048.0,75156732.0,-1.0,False
ABCB8,ABCB8,7,151028422.0,151047782.0,1.0,False
ABCB9,ABCB9,12,122920951.0,122981649.0,-1.0,False
ABCC1,ABCC1,16,15949138.0,16143257.0,1.0,False
ABCC10,ABCC10,6,43427366.0,43450430.0,1.0,False
ABCC3,ABCC3,17,50634609.0,50692631.0,1.0,False
ABCC4,ABCC4,13,95019835.0,95301822.0,-1.0,False
ABCC5,ABCC5,3,183919934.0,184017939.0,-1.0,False
ABCD1,ABCD1,X,153724495.0,153744755.0,1.0,False
ABCD2,ABCD2,12,39550033.0,39619803.0,-1.0,False
ABCD3,ABCD3,1,94418242.0,94518666.0,1.0,False
ABCD4,ABCD4,14,74285269.0,74303055.0,-1.0,False
ABCE1,ABCE1,4,145098248.0,145129524.0,1.0,False
ABCF1,ABCF1,6,30571393.0,30597179.0,1.0,False
ABCF2,ABCF2,7,151211484.0,151227241.0,-1.0,False
ABCF3,ABCF3,3,184186095.0,184194013.0,1.0,False
ABCG1,ABCG1,21,42199689.0,42304389.0,1.0,False
ABHD10,ABHD10,3,111978972.0,111993368.0,1.0,False
ABHD11,ABHD11,7,73736091.0,73738863.0,-1.0,False
ABHD12,ABHD12,20,25294742.0,25390866.0,-1.0,False
ABHD13,ABHD13,13,108218167.0,108234243.0,1.0,False
ABHD14A,ABHD14A,3,51971426.0,51981197.0,1.0,False
ABHD14B,ABHD14B,3,51968510.0,51983409.0,-1.0,False
ABHD15,ABHD15,17,29560547.0,29567037.0,-1.0,False
ABHD16A,ABHD16A,6,31686954.0,31703356.0,-1.0,False
ABHD17A,ABHD17A,19,1876810.0,1885618.0,-1.0,False
ABHD17B,ABHD17B,9,71862452.0,71911224.0,-1.0,False
ABHD17C,ABHD17C,15,80679684.0,80755621.0,1.0,False
ABHD18,ABHD18,4,127965267.0,128039953.0,1.0,False
ABHD2,ABHD2,15,89087459.0,89202355.0,1.0,False
ABHD3,ABHD3,18,21650898.0,21704808.0,-1.0,False
ABHD4,ABHD4,14,22598249.0,22612963.0,1.0,False
ABHD5,ABHD5,3,43690108.0,43734371.0,1.0,False
ABHD6,ABHD6,3,58237516.0,58295693.0,1.0,False
ABHD8,ABHD8,19,17292131.0,17310236.0,-1.0,False
ABI1,ABI1,10,26745942.0,26861094.0,-1.0,False
ABI2,ABI2,2,203328252.0,203447728.0,1.0,False
ABI3,ABI3,17,49210411.0,49223225.0,1.0,False
ABL1,ABL1,9,130713043.0,130887675.0,1.0,False
ABL2,ABL2,1,179099330.0,179229684.0,-1.0,False
ABLIM1,ABLIM1,10,114431110.0,114768061.0,-1.0,False
ABO,ABO,9,133233278.0,133276024.0,-1.0,False
ABR,ABR,17,1003519.0,1229738.0,-1.0,False
ABRACL,ABRACL,6,139027494.0,139043742.0,1.0,False
ABRAXAS1,ABRAXAS1,4,83459517.0,83523348.0,-1.0,False
ABRAXAS2,ABRAXAS2,10,124801805.0,124836670.0,1.0,False
ABT1,ABT1,6,26596953.0,26600739.0,1.0,False
ABTB1,ABTB1,3,127672906.0,127680926.0,1.0,False
ACAA1,ACAA1,3,38103129.0,38137647.0,-1.0,False
ACAA2,ACAA2,18,49782164.0,49813953.0,-1.0,False
ACACA,ACACA,17,37084992.0,37406836.0,-1.0,False
ACACB,ACACB,12,109116587.0,109268226.0,1.0,False
ACAD10,ACAD10,12,111686037.0,111757125.0,1.0,False
ACAD11,ACAD11,3,132558138.0,132660104.0,-1.0,False
ACAD8,ACAD8,11,134253514.0,134265855.0,1.0,False
ACAD9,ACAD9,3,128879596.0,128924003.0,1.0,False
ACADM,ACADM,1,75724431.0,75787575.0,1.0,False
ACADS,ACADS,12,120725774.0,120740009.0,1.0,False
ACADSB,ACADSB,10,123008972.0,123058290.0,1.0,False
ACADVL,ACADVL,17,7217125.0,7225269.0,1.0,False
ACAP1,ACAP1,17,7332960.0,7351478.0,1.0,False
ACAP2,ACAP2,3,195274738.0,195443091.0,-1.0,False
ACAP3,ACAP3,1,1292376.0,1309609.0,-1.0,False
ACAT1,ACAT1,11,108116695.0,108148957.0,1.0,False
ACAT2,ACAT2,6,159761981.0,159779821.0,1.0,False
ACBD3,ACBD3,1,226144679.0,226186762.0,-1.0,False
ACBD4,ACBD4,17,45132600.0,45144181.0,1.0,False
ACBD5,ACBD5,10,27168135.0,27243046.0,-1.0,False
ACBD6,ACBD6,1,180269653.0,180502954.0,-1.0,False
ACCS,ACCS,11,44065916.0,44084241.0,1.0,False
ACD,ACD,16,67657512.0,67660810.0,-1.0,False
ACE,ACE,17,63477058.0,63498380.0,1.0,False
ACER3,ACER3,11,76860859.0,77026797.0,1.0,False
ACIN1,ACIN1,14,23058561.0,23095614.0,-1.0,False
ACKR3,ACKR3,2,236567692.0,236582358.0,1.0,False
ACLY,ACLY,17,41866916.0,41930545.0,-1.0,False
ACO1,ACO1,9,32384603.0,32454769.0,1.0,False
ACO2,ACO2,22,41447830.0,41529273.0,1.0,False
